"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",1197418,1214228,1288055,289311,242764,328655
"매출원가",1035997,1054786,1110518,251815,217665,283608
"매출총이익",161414,159449,177533,37509,25102,45041
"판매비와관리비",111986,109896,119666,28557,26289,28481
"인건비",33293,34402,37367,9352,8319,8522
"유무형자산상각비",5085,3773,5629,1465,1434,1409
"연구개발비",16223,17321,20433,5075,5013,4988
"광고선전비",4898,4744,4767,745,821,950
"판매비",24980,20741,21422,4960,3892,4791
"관리비",23528,19589,19855,4618,4135,4388
"기타원가성비용",0,0,0,0,0,0
"기타",3969,9329,10183,2340,2672,3438
"영업이익",49434,49545,57870,8948,-1195,16557
"영업이익(발표기준)",49434,49545,57870,8948,-1195,16557
"금융수익",11836,12840,13046,7467,3015,2320
"이자수익",3178,4068,4759,993,953,842
"배당금수익",70,84,108,46,24,12
"외환이익",6921,5804,6964,5797,1205,1177
"대손충당금환입액",0,0,0,1,0,0
"매출채권처분이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0,0,0
"금융자산처분이익",1176,785,371,51,65,45
"금융자산평가이익",41,254,333,137,89,43
"금융자산손상차손환입",0,0,4,-1,0,0
"파생상품이익",351,491,374,171,277,109
"기타금융수익",93,1345,143,244,403,96
"금융원가",18058,18488,19258,9625,5650,4688
"이자비용",8693,9745,11121,2326,2189,2307
"외환손실",8319,7211,6593,5893,1953,2122
"대손상각비",2,6,19,0,0,190
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0,0,0
"매출채권처분손실",37,45,81,14,11,9
"금융자산처분손실",40,160,86,35,22,21
"금융자산평가손실",158,277,427,202,43,32
"금융자산손상차손",41,8,45,3,12,11
"파생상품손실",302,736,733,396,577,-217
"기타금융원가",467,310,149,747,835,203
"기타수익",20283,17755,18565,8443,3836,4816
"재고자산감모손실환입",0,0,0,0,0,0
"재고자산폐기(처분)이익",6,7,5,0,0,3
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,21,59,3,66,-17
"자산처분(폐기)이익",2502,1228,2017,268,406,248
"자산평가이익",32,8,11,1,15,0
"자산손상차손환입",4,58,83,2,19,7
"임대료수익",373,390,401,106,90,77
"로열티수익",117,170,146,20,19,11
"수수료수익",318,357,409,51,104,41
"대손충당금환입",64,85,37,37,37,30
"충당부채환입액",55,36,179,4,5,6
"기타비용",20362,20805,18252,6711,3695,4911
"재고자산감모손실",0,0,0,0,0,0
"재고자산폐기(처분)손실",47,70,100,3,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,232,151,167,-96,55
"자산처분(폐기)손실",1087,1191,1197,158,375,361
"자산평가손실",0,8,80,4,-6,8
"자산손상차손",3287,3446,4682,121,162,119
"기타대손상각비",395,909,627,28,202,469
"충당부채전입액",14,45,8,1,17,-5
"종속기업,공동지배기업및관계기업관련손익",7423,4060,7176,1432,197,-246
"지분법손익",-249,-202,-407,-266,-203,-41
"종속기업,공동지배기업및관계기업투자주식처분손익",1,0,13,0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,-4,0,0,-39,0
"세전계속사업이익",50562,44894,59142,9956,-3495,13859
"법인세비용",16837,12916,17929,4531,766,3500
"계속영업이익",33722,31987,41032,5396,-4248,10361
"중단영업이익",-21,-582,-1069,9,-59,-20
"당기순이익",33703,31404,39965,5406,-4307,10339
"지배주주순이익",32457,30491,38100,5180,-4032,10073
"비지배주주순이익",709,500,1598,102,-246,371
"자산",1326313,1395920,1475029,1496463,1482552,1536492
"유동자산",574268,614389,645395,651843,638759,687361
"재고자산",126679,135078,140192,150590,150382,141608
"유동생물자산",0,0,0,0,0,0
"유동금융자산",104118,123212,125308,126122,116419,126638
"매출채권및기타유동채권",224016,238786,243840,231561,217252,254704
"당기법인세자산",1224,884,1008,1076,1043,1111
"계약자산",801,1194,1681,1836,2133,1836
"반품(환불)자산",0,8,67,62,67,70
"배출권",0,0,5,5,5,5
"기타유동자산",18388,20206,23166,25568,24504,28483
"현금및현금성자산",96114,91768,101773,113436,125037,131370
"매각예정비유동자산및처분자산집단",2923,3262,8354,1579,1916,1527
"비유동자산",746327,776309,829626,844622,843793,849136
"유형자산",449182,474106,495195,502577,496002,506424
"무형자산",32496,36650,45093,45948,50538,44987
"비유동생물자산",0,0,0,0,0,0
"투자부동산",15722,17056,18535,16336,16578,16443
"장기금융자산",20659,22341,30559,35435,31480,34704
"관계기업등지분관련투자자산",211263,204490,205044,208163,212488,210996
"장기매출채권및기타비유동채권",2719,2565,4702,4960,5520,5459
"이연법인세자산",9341,12291,14133,15112,14563,14117
"장기당기법인세자산",0,0,0,13,0,0
"기타비유동자산",4920,6382,15660,15651,16189,15556
"기타금융업자산",5726,5220,0,0,0,0
"부채",587892,622158,663964,678799,667458,704273
"유동부채",402828,410650,433536,443614,426760,452645
"단기사채",1482,6406,6459,3661,4693,5954
"단기차입금",118566,122234,122038,144018,147262,135949
"유동성장기부채",47080,35937,40832,41192,43263,43972
"유동금융부채",1664,1876,3742,6790,7007,6524
"매입채무및기타유동채무",208034,215136,220700,210360,189274,223887
"유동종업원급여충당부채",169,218,239,175,187,183
"기타단기충당부채",6491,8065,9482,9989,9642,9660
"당기법인세부채",6955,8495,9878,10444,6596,6703
"계약부채",21,1813,2254,2334,3115,3707
"반품(환불)부채",0,14,69,65,72,27
"배출부채",7,2,10,11,13,5
"기타유동부채",10505,9905,11205,14185,14872,15842
"매각예정으로분류된처분자산집단에포함된부채",1850,566,6613,381,762,227
