"","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",344073,289311,242764,328655
"매출원가",295016,251815,217665,283608
"매출총이익",49055,37509,25102,45041
"판매비와관리비",33407,28557,26289,28481
"인건비",10825,9352,8319,8522
"유무형자산상각비",1573,1465,1434,1409
"연구개발비",6057,5075,5013,4988
"광고선전비",1331,745,821,950
"판매비",6786,4960,3892,4791
"관리비",5927,4618,4135,4388
"기타원가성비용",0,0,0,0
"기타",885,2340,2672,3438
"영업이익",15651,8948,-1195,16557
"영업이익(발표기준)",15651,8948,-1195,16557
"금융수익",1822,7467,3015,2320
"이자수익",1343,993,953,842
"배당금수익",14,46,24,12
"외환이익",620,5797,1205,1177
"대손충당금환입액",0,1,0,0
"매출채권처분이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0
"금융자산처분이익",101,51,65,45
"금융자산평가이익",44,137,89,43
"금융자산손상차손환입",5,-1,0,0
"파생상품이익",36,171,277,109
"기타금융수익",-339,244,403,96
"금융원가",4480,9625,5650,4688
"이자비용",4018,2326,2189,2307
"외환손실",1484,5893,1953,2122
"대손상각비",19,0,0,190
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0
"매출채권처분손실",23,14,11,9
"금융자산처분손실",39,35,22,21
"금융자산평가손실",288,202,43,32
"금융자산손상차손",43,3,12,11
"파생상품손실",76,396,577,-217
"기타금융원가",-1509,747,835,203
"기타수익",4006,8443,3836,4816
"재고자산감모손실환입",0,0,0,0
"재고자산폐기(처분)이익",4,0,0,3
"당기손익-공정가치측정<U+00A0>금융자산평가이익",33,3,66,-17
"자산처분(폐기)이익",679,268,406,248
"자산평가이익",7,1,15,0
"자산손상차손환입",44,2,19,7
"임대료수익",130,106,90,77
"로열티수익",69,20,19,11
"수수료수익",173,51,104,41
"대손충당금환입",21,37,37,30
"충당부채환입액",30,4,5,6
"기타비용",8261,6711,3695,4911
"재고자산감모손실",0,0,0,0
"재고자산폐기(처분)손실",70,3,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",-121,167,-96,55
"자산처분(폐기)손실",558,158,375,361
"자산평가손실",73,4,-6,8
"자산손상차손",4157,121,162,119
"기타대손상각비",499,28,202,469
"충당부채전입액",-7,1,17,-5
"종속기업,공동지배기업및관계기업관련손익",2024,1432,197,-246
"지분법손익",-208,-266,-203,-41
"종속기업,공동지배기업및관계기업투자주식처분손익",-66,0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,-39,0
"세전계속사업이익",10756,9956,-3495,13859
"법인세비용",4091,4531,766,3500
"계속영업이익",6488,5396,-4248,10361
"중단영업이익",3,9,-59,-20
"당기순이익",6491,5406,-4307,10339
"지배주주순이익",6562,5180,-4032,10073
"비지배주주순이익",180,102,-246,371
"자산",1487116,1496463,1482552,1536492
"유동자산",650758,651843,638759,687361
"재고자산",141108,150590,150382,141608
"유동생물자산",0,0,0,0
"유동금융자산",128297,126122,116419,126638
"매출채권및기타유동채권",244909,231561,217252,254704
"당기법인세자산",1012,1076,1043,1111
"계약자산",1681,1836,2133,1836
"반품(환불)자산",67,62,67,70
"배출권",5,5,5,5
"기타유동자산",23423,25568,24504,28483
"현금및현금성자산",101904,113436,125037,131370
"매각예정비유동자산및처분자산집단",8354,1579,1916,1527
"비유동자산",836349,844622,843793,849136
"유형자산",500578,502577,496002,506424
"무형자산",45216,45948,50538,44987
"비유동생물자산",0,0,0,0
"투자부동산",18535,16336,16578,16443
"장기금융자산",30668,35435,31480,34704
"관계기업등지분관련투자자산",206055,208163,212488,210996
"장기매출채권및기타비유동채권",4702,4960,5520,5459
"이연법인세자산",14212,15112,14563,14117
"장기당기법인세자산",0,13,0,0
"기타비유동자산",15677,15651,16189,15556
"기타금융업자산",0,0,0,0
"부채",670070,678799,667458,704273
"유동부채",438089,443614,426760,452645
"단기사채",6459,3661,4693,5954
"단기차입금",123353,144018,147262,135949
"유동성장기부채",41090,41192,43263,43972
"유동금융부채",3749,6790,7007,6524
"매입채무및기타유동채무",223324,210360,189274,223887
"유동종업원급여충당부채",239,175,187,183
"기타단기충당부채",9482,9989,9642,9660
"당기법인세부채",9885,10444,6596,6703
"계약부채",2254,2334,3115,3707
"반품(환불)부채",69,65,72,27
"배출부채",10,11,13,5
"기타유동부채",11548,14185,14872,15842
"매각예정으로분류된처분자산집단에포함된부채",6613,381,762,227
"비유동부채",231979,235180,240696,251637
"사채",43062,47857,50549,52496
"장기차입금",93734,92704,92948,99010
"비유동금융부채",11558,11253,13101,13333
"장기매입채무및기타비유동채무",3116,2751,2544,2455
"비유동종업원급여충당부채",24702,25612,26258,28152
"기타장기충당부채",13952,11787,11698,11752
"이연법인세부채",40278,40882,41290,42111
"장기당기법인세부채",19,19,0,0
"기타비유동부채",1441,2213,2211,2213
"기타금융업부채",0,0,0,0
"자본",817045,817661,815094,832217
"지배기업주주지분",759680,764528,761313,773379
"자본금",43675,44332,44653,45203
"신종자본증권",2390,2391,2391,2391
"자본잉여금",130998,131676,133557,134022
"기타자본",-19004,-12786,-13025,-13184
"기타포괄손익누계액",-11538,-6466,-6215,-4478
"이익잉여금(결손금)",625511,617594,612518,622039
"비지배주주지분",45016,40930,41219,46233
"영업활동으로인한현금흐름",31468,15553,20365,30037
"당기순손익",6737,5211,-2428,9774
"법인세비용차감전계속사업이익",-110,357,-1816,746
"현금유출이없는비용등가산",40959,32700,24524,25089
"퇴직급여",2329,1588,1561,1564
"종업원급여",149,10,18,56
"주식보상비",17,15,34,12
"감가상각비",18678,11504,11739,12353
"무형자산상각비",1415,1004,1038,996
"계약부채전입액",0,0,0,0
"반품(환불)부채전입액",0,0,0,0
"배출부채전입액",2,0,0,1
"기타의대손상각비",327,32,210,460
"배당금지급",0,0,0,0
"금융부채관련손실",21,8,79,0
"사채상환손실",18,22,15,0
"투자자산평가손실",79,0,0,0
"자산재평가손실",0,0,0,3
"지분법관련손실",587,258,744,-52
"종속기업관련손실",52,0,29,0
"관계기업관련손익",91,132,-60,99
"(현금유입이없는수익등차감)",7720,11388,2270,2956
"금융부채관련이익",39,16,22,8
"사채상환이익",8,45,14,22
"퇴직급여충당부채환입액",11,0,0,0
"계약부채환입액",0,0,0,0
"반품(환불)부채환입액",0,0,0,1
"배출부채환입액",0,0,0,0
"주식보상비환입",0,0,0,0
"투자자산평가이익",7,0,1,0
"자산재평가이익",0,0,0,0
"지분법관련이익",3235,1740,668,98
"종속회사관련이익",24,297,-186,5
"법인세수익",352,132,331,-144
"영업활동으로인한자산부채변동(운전자본변동)",-4406,-7004,4906,1461
"자산의감소(증가)",-12123,14333,18318,-37432
"부채의증가(감소)",6986,-19733,-12360,35477
"정부보조금등의변동",-4,1,1,-1
"기타운전자본의변동",742,-1614,-1060,3417
"*영업에서창출된현금흐름",35451,19876,22915,34120
"기타영업활동으로인한현금흐름",-3985,-4321,-2555,-4083
"이자수입",2042,914,807,690
"이자지급(-)",-2148,-1908,-1989,-1966
"배당금수입",153,346,2456,195
"배당금지급(-)",5,-25,25,0
"법인세환입",22,180,85,-95
"법인세납부(-)",-4063,-3821,-3974,-2941
"중단영업관련현금흐름",-3,0,27,38
"투자활동으로인한현금흐름",-11072,-21577,-11825,-19722
"투자활동으로인한현금유입액",22686,33122,20146,20722
"유동금융자산의감소",19161,26366,12575,15881
"장기금융상품의감소",2404,818,138,394
"매도가능금융자산의감소",-258,2,-2,2
"만기보유금융자산의감소",2,0,1,-1
"장기대여금의감소",-439,273,369,268
"파생상품의변동",0,0,21,-7
"기타비유동금융자산의감소",-2950,2670,3115,951
"관계기업등지분관련투자자산의감소",346,8,1180,-412
"유형자산의감소",2316,1692,2260,1635
"무형자산의감소",248,55,134,36
"생물자산의감소",0,0,0,0
"투자부동산의감소",168,7,144,95
"기타투자활동으로인한현금유입액",1688,1219,214,1867
"(투자활동으로인한현금유출액)",33802,54772,31997,40478
"유동금융자산의증가",16261,32645,5066,19620
"장기금융상품의증가",3100,1224,263,1734
"매도가능금융자산의증가",-215,61,-45,442
"만기보유금융자산의증가",0,1,2,5
"장기대여금의증가",1595,217,558,150
"기타비유동금융자산의증가",-4683,2810,5532,1601
"관계기업등지분관련투자자산의증가",-100,1369,5377,1772
"유형자산의증가",15807,13752,14153,13309
"무형자산의증가",1557,992,927,829
"생물자산의증가",0,0,0,0
"투자부동산의증가",2,0,42,7
"기타투자활동으로인한현금유출액",266,1676,101,987
"기타투자활동으로인한현금흐름",39,60,38,32
"재무활동으로인한현금흐름",-15984,16496,3576,-3997
"재무활동으로인한현금유입액",74476,71292,75861,58089
"사채의증가",1887,7734,5839,4797
"차입금의증가",27504,54295,49911,39185
"미지급금의증가",-2,0,0,1
"유동성장기부채의증가",43882,6701,19934,11433
"기타금융부채의증가",16,31,37,486
"기타부채의증가",-245,0,0,0
"유상증자",240,265,261,180
"자기주식의처분",574,0,45,53
"주식매입선택권의행사",0,0,9,0
"자본구성항목의증가",358,243,-195,201
"기타재무활동으로인한현금유입액",260,2024,22,1751
"(재무활동으로인한현금유출액)",89501,53408,64802,61019
"사채의감소",776,3595,912,805
"차입금의감소",30401,35153,34164,42600
"미지급금의감소",0,1,-1,1
"유동성장기부채의감소",52906,10870,28095,15882
"기타금융부채의감소",1824,1264,1105,1340
"기타부채의감소",4,21,2,2
"유상감자",0,0,0,0
"자기주식의취득",3180,322,534,463
"자본구성항목의감소",41,0,0,9
"기타재무활동으로인한현금유출액",375,2184,-11,-83
"기타재무활동으로인한현금흐름",-960,-1384,-7475,-1066
"영업투자재무활동기타현금흐름",15,-14,4,2
"연결범위변동으로인한현금의증가",-5,60,-36,-4
"환율변동효과",-1697,1138,-617,17
"현금및현금성자산의증가",2725,11654,11461,6330
"기초현금및현금성자산",99192,101790,113436,125037
"기말현금및현금성자산",101905,113436,125037,131373
