"","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",333125,324835,286322,306181
"매출원가",297215,286751,251839,263487
"매출총이익",35910,38084,34484,42694
"판매비와관리비",28935,25176,22275,22735
"인건비",10384,11058,9397,9078
"유무형자산상각비",1888,2019,1979,2068
"연구개발비",1186,989,991,1091
"광고선전비",748,669,644,735
"판매비",4930,2805,2080,2025
"관리비",6668,5443,5272,5687
"기타원가성비용",0,0,0,0
"기타",3132,2190,1909,2050
"영업이익",6977,12907,12210,19958
"영업이익(발표기준)",6977,12907,12210,19958
"금융수익",-857,7077,576,880
"이자수익",290,462,621,467
"배당금수익",151,23,17,1
"외환이익",304,2837,450,534
"대손충당금환입액",0,0,0,0
"매출채권처분이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0
"금융자산처분이익",2,0,0,6
"금융자산평가이익",84,4,0,0
"금융자산손상차손환입",0,0,0,0
"파생상품이익",-2078,3525,-543,-241
"기타금융수익",390,225,27,113
"금융원가",3729,11222,3139,4112
"이자비용",4133,3717,3451,3387
"외환손실",-158,3263,799,287
"대손상각비",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0
"매출채권처분손실",2,2,2,1
"금융자산처분손실",1,3,0,13
"금융자산평가손실",66,2,1,1
"금융자산손상차손",130,0,0,0
"파생상품손실",-723,4058,-1566,9
"기타금융원가",279,179,449,415
"기타수익",7458,9647,4405,6080
"재고자산감모손실환입",0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",28,5,37,-26
"자산처분(폐기)이익",175,176,54,643
"자산평가이익",1169,12,-2,9
"자산손상차손환입",31,1,3,39
"임대료수익",8,7,8,7
"로열티수익",0,0,0,0
"수수료수익",1,0,0,0
"대손충당금환입",218,48,234,126
"충당부채환입액",3,3,10,7
"기타비용",18199,7872,3722,4326
"재고자산감모손실",0,0,0,0
"재고자산폐기(처분)손실",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",145,36,2,-30
"자산처분(폐기)손실",773,267,136,428
"자산평가손실",42,120,29,-22
"자산손상차손",3583,40,41,38
"기타대손상각비",249,209,54,12
"충당부채전입액",149,0,8,-4
"종속기업,공동지배기업및관계기업관련손익",964,-499,1955,1752
"지분법손익",975,-571,1851,1702
"종속기업,공동지배기업및관계기업투자주식처분손익",0,0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0,0
"세전계속사업이익",-7388,10040,12283,20229
"법인세비용",746,1811,6673,4917
"계속영업이익",-8136,8232,5608,15311
"중단영업이익",4550,-176,942,-995
"당기순이익",-3586,8056,6549,14317
"지배주주순이익",1064,9041,4637,11218
"비지배주주순이익",-4650,-987,1912,3097
"자산",3042320,3048792,3105595,3123463
"유동자산",516138,540806,528912,545951
"재고자산",102187,112720,113441,112207
"유동생물자산",0,0,0,0
"유동금융자산",30356,36787,42663,46467
"매출채권및기타유동채권",185533,193033,180257,181786
"당기법인세자산",964,1228,1172,920
"계약자산",10169,9831,8989,9572
"반품(환불)자산",42,35,41,41
"배출권",12,5,0,0
"기타유동자산",40993,44847,46160,48972
"현금및현금성자산",105365,123912,131540,111159
"매각예정비유동자산및처분자산집단",40514,18407,4651,34825
"비유동자산",1023414,985982,1017783,1030044
"유형자산",312099,312764,314584,307352
"무형자산",120133,122190,121785,120709
"비유동생물자산",51,46,52,49
"투자부동산",36229,38033,38118,35552
"장기금융자산",257148,210738,233584,257470
"관계기업등지분관련투자자산",234667,236893,243928,247590
