"","X2017.12","X2018.12","X2019.12"
"매출액",714033,790847,898487
"매출원가",573484,648751,736421
"매출총이익",140547,142095,162067
"판매비와관리비",109152,110071,124539
"인건비",34164,36613,42768
"유무형자산상각비",6083,6367,10542
"연구개발비",1010,855,809
"광고선전비",6264,6701,7884
"판매비",20020,18029,21797
"관리비",39181,39025,37299
"기타원가성비용",0,0,0
"기타",2423,2486,3438
"영업이익",31399,32022,37527
"영업이익(발표기준)",31399,32022,37527
"금융수익",13352,7100,8340
"이자수익",904,1068,1470
"배당금수익",110,86,114
"외환이익",4821,3662,4681
"대손충당금환입액",0,0,0
"매출채권처분이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0
"금융자산처분이익",5864,196,74
"금융자산평가이익",9,186,225
"금융자산손상차손환입",0,0,0
"파생상품이익",1517,1795,1725
"기타금융수익",125,108,51
"금융원가",15278,16399,21941
"이자비용",7187,8495,14358
"외환손실",3598,4851,4484
"대손상각비",291,23,75
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0
"매출채권처분손실",36,53,146
"금융자산처분손실",15,18,31
"금융자산평가손실",0,29,32
"금융자산손상차손",358,0,0
"파생상품손실",2976,2785,2438
"기타금융원가",817,144,378
"기타수익",14318,26779,13236
"재고자산감모손실환입",0,0,0
"재고자산폐기(처분)이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,0,0
"자산처분(폐기)이익",481,1485,2999
"자산평가이익",21,22,23
"자산손상차손환입",0,0,0
"임대료수익",4,3,4
"로열티수익",0,0,0
"수수료수익",19,19,22
"대손충당금환입",0,12,14
"충당부채환입액",62,43,1
"기타비용",13358,15792,20266
"재고자산감모손실",0,0,0
"재고자산폐기(처분)손실",1,4,5
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,0,0
"자산처분(폐기)손실",786,809,1088
"자산평가손실",0,1,0
"자산손상차손",801,2615,4182
"기타대손상각비",160,125,186
"충당부채전입액",16,13,208
"종속기업,공동지배기업및관계기업관련손익",1611,1306,1421
"지분법손익",1428,900,1073
"종속기업,공동지배기업및관계기업투자주식처분손익",-30,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",-5,0,0
"세전계속사업이익",32043,35016,18317
"법인세비용",8766,10797,7042
"계속영업이익",23277,24220,11274
"중단영업이익",1,-20,-39
"당기순이익",23277,24202,11235
"지배주주순이익",15759,17495,10107
"비지배주주순이익",7228,6684,1088
"자산",656465,730724,924531
"유동자산",202055,221814,277013
"재고자산",37326,44695,56899
"유동생물자산",1218,2242,2510
"유동금융자산",14966,14047,35292
"매출채권및기타유동채권",105619,107993,113598
"당기법인세자산",122,79,101
"계약자산",0,5278,6227
"반품(환불)자산",0,0,0
"배출권",0,0,0
"기타유동자산",13191,16282,17158
"현금및현금성자산",27240,30997,34981
"매각예정비유동자산및처분자산집단",2375,201,10244
"비유동자산",454409,508912,647518
"유형자산",275430,316248,340882
"무형자산",108599,116511,141238
"비유동생물자산",0,0,0
"투자부동산",8198,7777,5735
"장기금융자산",17396,20776,20001
"관계기업등지분관련투자자산",26369,28507,31582
"장기매출채권및기타비유동채권",2822,2244,2561
"이연법인세자산",3978,4246,4992
"장기당기법인세자산",0,0,0
"기타비유동자산",11614,12211,100134
"기타금융업자산",0,0,0
"부채",383189,431331,572590
"유동부채",207029,246563,277783
"단기사채",269,240,522
"단기차입금",63711,89247,65246
"유동성장기부채",31193,39133,54202
"유동금융부채",3249,3285,6757
"매입채무및기타유동채무",94309,95561,123442
"유동종업원급여충당부채",0,0,0
"기타단기충당부채",583,561,2329
"당기법인세부채",4065,7915,5895
"계약부채",0,1269,2241
"반품(환불)부채",0,0,0
"배출부채",0,0,0
"기타유동부채",9648,9354,17139
"매각예정으로분류된처분자산집단에포함된부채",0,0,13
"비유동부채",176161,184769,294804
"사채",92211,90588,87720
"장기차입금",41607,42110,67517
"비유동금융부채",2663,4323,78420
"장기매입채무및기타비유동채무",11059,14735,19346
"비유동종업원급여충당부채",4345,6060,7159
"기타장기충당부채",1532,1620,2507
"이연법인세부채",20408,20664,25850
"장기당기법인세부채",0,0,0
"기타비유동부채",2336,1342,2841
"기타금융업부채",0,0,0
"자본",273276,299393,351944
"지배기업주주지분",158131,181848,195342
"자본금",5333,5549,5836
"신종자본증권",0,1992,5481
"자본잉여금",47083,53152,52225
"기타자본",-10572,-10019,-8056
"기타포괄손익누계액",-2729,-2226,-407
"이익잉여금(결손금)",120095,134641,141415
"비지배주주지분",114065,116302,155444
"영업활동으로인한현금흐름",43758,27396,79372
"당기순손익",11857,15360,7682
"법인세비용차감전계속사업이익",15822,13327,6364
"현금유출이없는비용등가산",51337,59767,84258
"퇴직급여",1848,1796,1899
"종업원급여",7,34,12
"주식보상비",0,0,0
"감가상각비",17677,19524,37778
"무형자산상각비",7485,8940,9624
"계약부채전입액",0,0,0
"반품(환불)부채전입액",0,0,0
"배출부채전입액",0,0,0
"기타의대손상각비",549,179,249
"배당금지급",0,0,0
"금융부채관련손실",672,9,0
"사채상환손실",0,0,0
"투자자산평가손실",0,0,0
"자산재평가손실",0,0,0
"지분법관련손실",99,236,106
"종속기업관련손실",8,32,0
"관계기업관련손익",420,649,483
"(현금유입이없는수익등차감)",23641,30703,17190
"금융부채관련이익",82,54,0
"사채상환이익",0,0,5
"퇴직급여충당부채환입액",0,0,0
"계약부채환입액",0,0,0
"반품(환불)부채환입액",0,0,0
"배출부채환입액",0,0,0
"주식보상비환입",0,1,0
"투자자산평가이익",0,22,22
"자산재평가이익",4,0,0
"지분법관련이익",1555,1245,1308
"종속회사관련이익",24,19360,3295
"법인세수익",0,1,40
"영업활동으로인한자산부채변동(운전자본변동)",-5192,-21975,11397
"자산의감소(증가)",-11742,-18644,-6509
"부채의증가(감소)",7420,-1485,18932
"정부보조금등의변동",1,2,1
"기타운전자본의변동",-869,-1849,-1028
"*영업에서창출된현금흐름",50183,35773,92509
"기타영업활동으로인한현금흐름",-6425,-8377,-13136
"이자수입",297,348,416
"이자지급(-)",-1307,-1764,-2439
"배당금수입",332,327,315
"배당금지급(-)",0,0,0
"법인세환입",6,19,1
"법인세납부(-)",-5750,-7306,-11431
"중단영업관련현금흐름",0,-2,1
"투자활동으로인한현금흐름",-52668,-45400,-88798
"투자활동으로인한현금유입액",24172,37283,36426
"유동금융자산의감소",8354,6823,3413
"장기금융상품의감소",5,0,6
"매도가능금융자산의감소",7461,0,0
"만기보유금융자산의감소",0,0,0
"장기대여금의감소",99,86,156
"파생상품의변동",24,117,404
"기타비유동금융자산의감소",1909,3515,5990
"관계기업등지분관련투자자산의감소",1676,662,625
"유형자산의감소",1482,1547,6258
"무형자산의감소",238,99,330
"생물자산의감소",0,0,0
"투자부동산의감소",379,146,398
"기타투자활동으로인한현금유입액",2542,24284,18846
"(투자활동으로인한현금유출액)",77731,84018,126207
"유동금융자산의증가",6316,5316,22479
"장기금융상품의증가",65,16,15
"매도가능금융자산의증가",666,0,0
"만기보유금융자산의증가",0,0,0
"장기대여금의증가",215,220,146
"기타비유동금융자산의증가",3074,5136,3912
"관계기업등지분관련투자자산의증가",781,1638,985
"유형자산의증가",47168,50080,45806
"무형자산의증가",7074,8010,9610
"생물자산의증가",0,0,0
"투자부동산의증가",565,89,12
"기타투자활동으로인한현금유출액",11568,13509,43247
"기타투자활동으로인한현금흐름",892,1336,982
"재무활동으로인한현금흐름",8994,21485,13718
"재무활동으로인한현금유입액",64224,90340,121754
"사채의증가",31511,20995,26598
"차입금의증가",23444,51812,54019
"미지급금의증가",0,0,0
"유동성장기부채의증가",120,18,0
"기타금융부채의증가",1001,161,0
"기타부채의증가",183,102,5
"유상증자",55,6340,150
"자기주식의처분",1,0,52
"주식매입선택권의행사",35,8,0
"자본구성항목의증가",5811,6819,30919
"기타재무활동으로인한현금유입액",2062,4084,10010
"(재무활동으로인한현금유출액)",46786,59448,92927
"사채의감소",1615,2507,2726
"차입금의감소",11464,14285,37579
"미지급금의감소",0,0,0
"유동성장기부채의감소",28382,27449,35859
"기타금융부채의감소",316,343,14666
"기타부채의감소",80,149,7
"유상감자",0,0,0
"자기주식의취득",101,519,34
"자본구성항목의감소",2602,12897,1830
"기타재무활동으로인한현금유출액",2225,1299,226
"기타재무활동으로인한현금흐름",-8444,-9408,-15111
"영업투자재무활동기타현금흐름",0,0,0
"연결범위변동으로인한현금의증가",-1,0,4
"환율변동효과",-1107,277,-307
"현금및현금성자산의증가",-1022,3757,3988
"기초현금및현금성자산",28263,27240,30997
"기말현금및현금성자산",27240,30997,34981
