"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",462404,405683,392205,81300,89604,115233
"매출원가",380353,349623,350324,73851,82323,99496
"매출총이익",82054,56061,41879,7443,7278,15742
"판매비와관리비",46717,48518,51445,10862,10907,11222
"인건비",10192,12113,12260,2323,2129,2155
"유무형자산상각비",2291,2745,3371,818,784,733
"연구개발비",16257,16815,16895,3612,3737,3545
"광고선전비",2464,1213,2068,438,277,282
"판매비",6755,6387,7995,1408,1234,1786
"관리비",7414,8024,7324,1567,1776,1593
"기타원가성비용",0,0,0,0,0,0
"기타",1330,1220,1534,687,974,1136
"영업이익",35345,7544,-9564,-3412,-3623,4511
"영업이익(발표기준)",35345,7544,-9564,-3412,-3623,4511
"금융수익",4957,5292,5731,5028,1735,1603
"이자수익",943,1124,1082,295,240,239
"배당금수익",15,67,17,1,6,9
"외환이익",3211,3267,3220,1899,958,1159
"대손충당금환입액",0,1,0,0,0,0
"매출채권처분이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0,0,0
"금융자산처분이익",104,112,54,17,7,20
"금융자산평가이익",140,214,153,14,106,42
"금융자산손상차손환입",0,3,0,0,3,0
"파생상품이익",413,411,1020,1178,229,38
"기타금융수익",129,87,183,1612,179,99
"금융원가",6857,6836,8558,4230,2596,4056
"이자비용",2228,2384,3428,1034,984,1395
"외환손실",3599,3143,2869,2685,571,995
"대손상각비",1,0,2,0,1,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0,0,0
"매출채권처분손실",8,134,197,21,9,12
"금융자산처분손실",59,29,18,9,28,7
"금융자산평가손실",20,234,373,56,24,-9
"금융자산손상차손",202,9,0,0,0,0
"파생상품손실",193,564,606,237,410,477
"기타금융원가",539,336,1059,192,558,1169
"기타수익",14339,13683,16114,7110,2110,3981
"재고자산감모손실환입",0,0,0,0,0,0
"재고자산폐기(처분)이익",3,2,1,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,23,128,11,-2,3
"자산처분(폐기)이익",1504,456,693,169,170,141
"자산평가이익",9,12,24,0,0,2
"자산손상차손환입",1,17,41,20,2,7
"임대료수익",70,83,77,18,20,19
"로열티수익",0,0,0,0,0,0
"수수료수익",9,14,10,0,3,11
"대손충당금환입",181,24,42,7,24,23
"충당부채환입액",0,10,12,1,0,0
"기타비용",18300,15670,35175,5752,3870,4341
"재고자산감모손실",0,0,0,0,0,0
"재고자산폐기(처분)손실",41,12,19,10,4,1
"당기손익-공정가치측정<U+00A0>금융자산평가손실",3,57,126,37,-17,-2
"자산처분(폐기)손실",564,432,750,86,164,238
"자산평가손실",6,34,60,21,-4,2
"자산손상차손",1085,1644,18860,112,376,399
"기타대손상각비",317,269,324,7,33,22
"충당부채전입액",75,3,51,1,0,1
"종속기업,공동지배기업및관계기업관련손익",616,985,-277,33,169,170
"지분법손익",-29,22,-88,42,130,189
"종속기업,공동지배기업및관계기업투자주식처분손익",-22,758,-180,-12,-2,-1
"종속기업,공동지배기업및관계기업투자주식손상관련손익",-5,-35,-45,0,0,0
"세전계속사업이익",30134,4989,-31720,-1237,-6060,1872
"법인세비용",6107,2876,-3252,-541,-1216,-237
"계속영업이익",24030,2115,-28466,-695,-4849,2111
"중단영업이익",-139,-79,-159,-1,57,13
"당기순이익",23892,2035,-28625,-695,-4792,2126
"지배주주순이익",22355,1449,-27703,-617,-4918,1995
"비지배주주순이익",923,215,-103,-72,-55,-44
"자산",451822,495690,528060,529458,526305,542041
"유동자산",196762,177377,192668,191943,190294,209155
"재고자산",39716,48282,41734,45972,45028,48370
"유동생물자산",0,0,0,0,0,0
"유동금융자산",18427,11987,13262,13856,14233,13736
"매출채권및기타유동채권",83838,60655,65551,57986,57950,72101
"당기법인세자산",137,154,1265,1280,1259,1240
"계약자산",822,4442,3762,3930,3872,4094
"반품(환불)자산",0,93,242,215,216,182
"배출권",20,0,0,0,0,0
"기타유동자산",5816,7995,12107,13698,13689,14015
"현금및현금성자산",47873,42222,53335,54259,53182,54391
"매각예정비유동자산및처분자산집단",122,1534,1411,745,847,1005
"비유동자산",255052,313764,331006,333164,331315,327945
"유형자산",208006,262214,271036,271795,267489,262862
"무형자산",14426,15185,14057,14147,13671,13646
"비유동생물자산",0,0,0,0,0,0
"투자부동산",1986,2662,3170,3121,3392,3291
"장기금융자산",4426,7872,5893,5610,6448,7833
"관계기업등지분관련투자자산",4983,4731,7533,7552,7937,8122
"장기매출채권및기타비유동채권",4194,1525,1541,1532,2196,1527
"이연법인세자산",12298,14080,19921,21448,23215,23829
"장기당기법인세자산",0,0,0,0,0,0
"기타비유동자산",4731,4634,5684,5642,5071,4154
"기타금융업자산",0,4552,4378,4352,4697,4943
"부채",219353,258955,308367,312362,310333,318830
