"","X2017.12","X2018.12","X2019.12"
"매출액",462404,405683,392205
"매출원가",380353,349623,350324
"매출총이익",82054,56061,41879
"판매비와관리비",46717,48518,51445
"인건비",10192,12113,12260
"유무형자산상각비",2291,2745,3371
"연구개발비",16257,16815,16895
"광고선전비",2464,1213,2068
"판매비",6755,6387,7995
"관리비",7414,8024,7324
"기타원가성비용",0,0,0
"기타",1330,1220,1534
"영업이익",35345,7544,-9564
"영업이익(발표기준)",35345,7544,-9564
"금융수익",4957,5292,5731
"이자수익",943,1124,1082
"배당금수익",15,67,17
"외환이익",3211,3267,3220
"대손충당금환입액",0,1,0
"매출채권처분이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0
"금융자산처분이익",104,112,54
"금융자산평가이익",140,214,153
"금융자산손상차손환입",0,3,0
"파생상품이익",413,411,1020
"기타금융수익",129,87,183
"금융원가",6857,6836,8558
"이자비용",2228,2384,3428
"외환손실",3599,3143,2869
"대손상각비",1,0,2
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0
"매출채권처분손실",8,134,197
"금융자산처분손실",59,29,18
"금융자산평가손실",20,234,373
"금융자산손상차손",202,9,0
"파생상품손실",193,564,606
"기타금융원가",539,336,1059
"기타수익",14339,13683,16114
"재고자산감모손실환입",0,0,0
"재고자산폐기(처분)이익",3,2,1
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,23,128
"자산처분(폐기)이익",1504,456,693
"자산평가이익",9,12,24
"자산손상차손환입",1,17,41
"임대료수익",70,83,77
"로열티수익",0,0,0
"수수료수익",9,14,10
"대손충당금환입",181,24,42
"충당부채환입액",0,10,12
"기타비용",18300,15670,35175
"재고자산감모손실",0,0,0
"재고자산폐기(처분)손실",41,12,19
"당기손익-공정가치측정<U+00A0>금융자산평가손실",3,57,126
"자산처분(폐기)손실",564,432,750
"자산평가손실",6,34,60
"자산손상차손",1085,1644,18860
"기타대손상각비",317,269,324
"충당부채전입액",75,3,51
"종속기업,공동지배기업및관계기업관련손익",616,985,-277
"지분법손익",-29,22,-88
"종속기업,공동지배기업및관계기업투자주식처분손익",-22,758,-180
"종속기업,공동지배기업및관계기업투자주식손상관련손익",-5,-35,-45
"세전계속사업이익",30134,4989,-31720
"법인세비용",6107,2876,-3252
"계속영업이익",24030,2115,-28466
"중단영업이익",-139,-79,-159
"당기순이익",23892,2035,-28625
"지배주주순이익",22355,1449,-27703
"비지배주주순이익",923,215,-103
"자산",451822,495690,528060
"유동자산",196762,177377,192668
"재고자산",39716,48282,41734
"유동생물자산",0,0,0
"유동금융자산",18427,11987,13262
"매출채권및기타유동채권",83838,60655,65551
"당기법인세자산",137,154,1265
"계약자산",822,4442,3762
"반품(환불)자산",0,93,242
"배출권",20,0,0
"기타유동자산",5816,7995,12107
"현금및현금성자산",47873,42222,53335
"매각예정비유동자산및처분자산집단",122,1534,1411
"비유동자산",255052,313764,331006
"유형자산",208006,262214,271036
"무형자산",14426,15185,14057
"비유동생물자산",0,0,0
"투자부동산",1986,2662,3170
"장기금융자산",4426,7872,5893
"관계기업등지분관련투자자산",4983,4731,7533
"장기매출채권및기타비유동채권",4194,1525,1541
"이연법인세자산",12298,14080,19921
"장기당기법인세자산",0,0,0
"기타비유동자산",4731,4634,5684
"기타금융업자산",0,4552,4378
"부채",219353,258955,308367
"유동부채",151618,158442,170993
"단기사채",3054,2929,3781
"단기차입금",17032,16645,23828
"유동성장기부채",18727,19616,16649
"유동금융부채",1260,1019,1631
"매입채무및기타유동채무",100245,100518,104396
"유동종업원급여충당부채",69,64,87
"기타단기충당부채",1516,1649,2968
"당기법인세부채",4769,2369,2239
"계약부채",274,3283,3058
"반품(환불)부채",3,9,23
"배출부채",0,10,3
"기타유동부채",4658,10285,12082
"매각예정으로분류된처분자산집단에포함된부채",0,44,243
"비유동부채",62334,94986,132016
"사채",16113,19461,28141
"장기차입금",33113,58904,93732
"비유동금융부채",249,502,1938
"장기매입채무및기타비유동채무",1194,1553,1801
"비유동종업원급여충당부채",1858,1477,1024
"기타장기충당부채",566,563,908
"이연법인세부채",898,1108,880
"장기당기법인세부채",0,0,0
"기타비유동부채",8341,11401,3481
"기타금융업부채",5401,5521,5365
"자본",232465,236738,219692
"지배기업주주지분",216047,216276,197818
"자본금",27963,28190,29531
"신종자본증권",0,0,0
"자본잉여금",60361,63068,68294
"기타자본",-4216,-4332,-4486
"기타포괄손익누계액",-1855,-2014,-792
"이익잉여금(결손금)",138582,137669,109410
"비지배주주지분",11627,14169,17732
"영업활동으로인한현금흐름",80898,48720,35950
"당기순손익",23171,1948,-28459
"법인세비용차감전계속사업이익",545,198,94
"현금유출이없는비용등가산",62864,61742,84244
"퇴직급여",2700,2465,2341
"종업원급여",63,0,9
"주식보상비",113,94,152
"감가상각비",33525,36608,38206
"무형자산상각비",5140,5201,5049
"계약부채전입액",0,0,0
"반품(환불)부채전입액",0,0,0
"배출부채전입액",0,0,0
"기타의대손상각비",305,301,309
"배당금지급",0,0,0
"금융부채관련손실",4,64,145
"사채상환손실",51,45,117
"투자자산평가손실",0,25,57
"자산재평가손실",0,0,0
"지분법관련손실",271,212,340
"종속기업관련손실",42,36,35
"관계기업관련손익",329,181,300
"(현금유입이없는수익등차감)",10113,7446,12331
"금융부채관련이익",33,2,16
"사채상환이익",55,58,88
"퇴직급여충당부채환입액",0,3,0
"계약부채환입액",0,0,0
"반품(환불)부채환입액",0,0,0
"배출부채환입액",0,0,0
"주식보상비환입",0,29,0
"투자자산평가이익",0,10,17
"자산재평가이익",0,0,0
"지분법관련이익",213,107,222
"종속회사관련이익",66,456,75
"법인세수익",295,128,4821
"영업활동으로인한자산부채변동(운전자본변동)",11372,812,756
"자산의감소(증가)",4248,-1638,-7736
"부채의증가(감소)",7159,2427,8483
"정부보조금등의변동",-20,-8,-14
"기타운전자본의변동",-20,28,23
"*영업에서창출된현금흐름",87851,57254,44310
"기타영업활동으로인한현금흐름",-6951,-8530,-8353
"이자수입",1393,1665,1508
"이자지급(-)",-2443,-3326,-5411
"배당금수입",18,110,33
"배당금지급(-)",-29,-43,-19
"법인세환입",84,94,108
"법인세납부(-)",-5843,-7029,-4658
"중단영업관련현금흐름",-126,0,85
"투자활동으로인한현금흐름",-75677,-86225,-77771
"투자활동으로인한현금유입액",37819,36431,30915
"유동금융자산의감소",5935,12863,13527
"장기금융상품의감소",22295,14980,1499
"매도가능금융자산의감소",2537,28,0
"만기보유금융자산의감소",171,470,20
"장기대여금의감소",167,69,46
"파생상품의변동",51,54,224
"기타비유동금융자산의감소",1581,3259,4753
"관계기업등지분관련투자자산의감소",544,972,498
"유형자산의감소",2927,2598,4581
"무형자산의감소",66,114,102
"생물자산의감소",0,0,0
"투자부동산의감소",259,124,524
"기타투자활동으로인한현금유입액",1290,900,5130
"(투자활동으로인한현금유출액)",114363,122849,108382
"유동금융자산의증가",8027,14683,13806
"장기금융상품의증가",18647,7982,1406
"매도가능금융자산의증가",2725,57,155
"만기보유금융자산의증가",480,110,8
"장기대여금의증가",226,455,180
"기타비유동금융자산의증가",2382,3717,5398
"관계기업등지분관련투자자산의증가",1050,1733,2881
"유형자산의증가",74231,86847,77349
"무형자산의증가",5542,5798,5960
"생물자산의증가",0,0,0
"투자부동산의증가",202,22,211
"기타투자활동으로인한현금유출액",826,1411,1002
"기타투자활동으로인한현금흐름",872,182,-300
"재무활동으로인한현금흐름",13027,32012,52772
"재무활동으로인한현금유입액",48846,84420,106769
"사채의증가",8303,12481,16542
"차입금의증가",34979,65209,80831
"미지급금의증가",0,0,0
"유동성장기부채의증가",0,0,300
"기타금융부채의증가",162,720,1188
"기타부채의증가",3,78,0
"유상증자",2805,1933,4282
"자기주식의처분",267,135,247
"주식매입선택권의행사",80,12,57
"자본구성항목의증가",1191,102,33
"기타재무활동으로인한현금유입액",1059,3747,3288
"(재무활동으로인한현금유출액)",33273,49257,53127
"사채의감소",1424,1696,2027
"차입금의감소",24342,26105,31589
"미지급금의감소",2,0,0
"유동성장기부채의감소",6610,19557,16890
"기타금융부채의감소",120,567,2130
"기타부채의감소",0,0,2
"유상감자",0,0,0
"자기주식의취득",634,895,391
"자본구성항목의감소",13,289,5
"기타재무활동으로인한현금유출액",123,140,91
"기타재무활동으로인한현금흐름",-2549,-3145,-865
"영업투자재무활동기타현금흐름",-4,-7,-187
"연결범위변동으로인한현금의증가",-101,-321,16
"환율변동효과",-1702,-47,331
"현금및현금성자산의증가",16437,-5867,11116
"기초현금및현금성자산",31430,48100,42224
"기말현금및현금성자산",47874,42224,53339
