"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",126186,120932,118288,34287,35477,35366
"매출원가",98348,96433,94607,27609,28389,28426
"매출총이익",27837,24500,23680,6676,7087,6938
"판매비와관리비",20465,19868,20643,6170,6216,6098
"인건비",7809,7404,8028,2375,2288,2351
"유무형자산상각비",904,921,1393,467,463,474
"연구개발비",981,1066,1141,460,436,451
"광고선전비",894,842,786,168,167,185
"판매비",4161,4013,3984,924,991,902
"관리비",3759,3647,3295,923,930,972
"기타원가성비용",0,0,0,0,0,0
"기타",1960,1973,2011,857,942,759
"영업이익",7371,4634,3037,508,868,843
"영업이익(발표기준)",7371,4634,3037,508,868,843
"금융수익",3276,3551,2267,1431,5493,410
"이자수익",318,414,440,102,82,73
"배당금수익",132,400,386,374,6,1
"외환이익",795,590,762,456,139,200
"대손충당금환입액",0,0,0,0,0,0
"매출채권처분이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0,0,0
"금융자산처분이익",17,501,45,2,-1,12
"금융자산평가이익",1850,1493,527,0,5119,5
"금융자산손상차손환입",0,0,0,0,0,0
"파생상품이익",162,147,56,484,124,110
"기타금융수익",-1,-1,49,11,17,7
"금융원가",5327,6814,3148,7260,954,3035
"이자비용",1296,1494,1662,680,597,579
"외환손실",889,543,406,370,171,323
"대손상각비",159,13,12,12,-2,-3
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,12,6,0,0,0
"매출채권처분손실",0,0,0,0,0,0
"금융자산처분손실",6,5,66,2,0,0
"금융자산평가손실",911,4465,710,5901,14,1962
"금융자산손상차손",4,0,4,0,5,0
"파생상품손실",446,187,252,77,7,125
"기타금융원가",1616,92,29,217,160,49
"기타수익",968,1622,1626,1418,443,1837
"재고자산감모손실환입",0,0,0,0,0,0
"재고자산폐기(처분)이익",1,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,0,0,0,0,0
"자산처분(폐기)이익",84,261,290,8,186,1605
"자산평가이익",0,0,0,0,0,0
"자산손상차손환입",21,3,437,0,0,8
"임대료수익",136,129,128,33,29,30
"로열티수익",26,15,17,1,27,0
"수수료수익",6,8,2,0,1,0
"대손충당금환입",4,1,48,2,-2,0
"충당부채환입액",2,0,0,0,0,0
"기타비용",1971,1625,2526,310,653,380
"재고자산감모손실",0,0,0,0,0,0
"재고자산폐기(처분)손실",0,9,8,2,-2,1
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,0,0,0,0,0
"자산처분(폐기)손실",117,226,151,39,32,52
"자산평가손실",0,1,3,0,5,0
"자산손상차손",37,581,306,27,367,102
"기타대손상각비",43,11,26,4,-2,-3
"충당부채전입액",10,5,2,0,2,2
"종속기업,공동지배기업및관계기업관련손익",943,57,-2108,286,169,262
"지분법손익",302,166,-2093,284,169,250
"종속기업,공동지배기업및관계기업투자주식처분손익",641,0,1,0,0,12
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0,0,0,0
"세전계속사업이익",5255,1422,-850,-3928,5369,-56
"법인세비용",1621,649,715,-945,1618,206
"계속영업이익",3633,773,-1565,-2983,3751,-268
"중단영업이익",-154,-202,85,461,-1,-2
"당기순이익",3479,569,-1479,-2524,3748,-269
"지배주주순이익",2825,147,-1904,-2410,3886,-111
"비지배주주순이익",252,19,246,-184,-192,-196
"자산",189057,188572,194222,233875,238491,233104
"유동자산",65633,68021,73033,81261,81899,80254
"재고자산",15634,17075,16095,23456,22572,21441
"유동생물자산",0,0,0,0,57,63
"유동금융자산",7820,11792,10308,10788,8882,10127
"매출채권및기타유동채권",30713,28316,24830,30072,28741,28887
"당기법인세자산",71,66,112,134,87,80
"계약자산",0,6,3,2,5,8
"반품(환불)자산",0,38,29,26,23,26
"배출권",0,0,0,0,0,0
"기타유동자산",1046,1020,952,3249,3245,3458
"현금및현금성자산",10052,9460,8567,13050,17789,16075
"매각예정비유동자산및처분자산집단",298,250,12141,486,496,90
"비유동자산",123406,120517,121132,152561,156535,152807
"유형자산",68805,72757,69608,92812,91423,90363
"무형자산",1610,1700,1948,15209,14967,14750
"비유동생물자산",0,0,0,0,1,1
"투자부동산",9282,9289,9353,10006,10403,9878
"장기금융자산",34504,28090,27759,21747,27055,24903
"관계기업등지분관련투자자산",7054,5588,8242,6206,6343,6655
"장기매출채권및기타비유동채권",1078,1059,926,1571,1385,1652
"이연법인세자산",338,476,624,718,777,802
"장기당기법인세자산",0,0,0,0,0,0
"기타비유동자산",738,1561,2671,4289,4184,3837
"기타금융업자산",18,31,55,52,51,45
"부채",81805,80856,98690,127535,128255,123393
"유동부채",55591,45020,65697,70760,70785,66058
"단기사채",286,224,634,774,620,330
"단기차입금",22372,17445,23732,29377,30688,27186
"유동성장기부채",10327,4919,7739,11825,10842,8708
"유동금융부채",248,110,663,931,2999,2939
"매입채무및기타유동채무",20475,18958,28015,24785,22129,22915
"유동종업원급여충당부채",0,0,0,0,0,0
"기타단기충당부채",142,234,274,304,386,364
