"","X2017.12","X2018.12","X2019.12"
"매출액",5575,5349,5904
"매출원가",4410,4489,4738
"매출총이익",1165,860,1164
"판매비와관리비",793,884,910
"인건비",266,278,279
"유무형자산상각비",25,25,50
"연구개발비",15,30,29
"광고선전비",22,20,46
"판매비",235,214,172
"관리비",222,265,299
"기타원가성비용",0,0,0
"기타",12,53,36
"영업이익",374,-23,255
"영업이익(발표기준)",374,-23,255
"금융수익",92,143,156
"이자수익",29,30,35
"배당금수익",0,1,1
"외환이익",16,42,27
"대손충당금환입액",0,0,0
"매출채권처분이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0
"금융자산처분이익",18,46,36
"금융자산평가이익",28,24,55
"금융자산손상차손환입",0,0,0
"파생상품이익",0,0,3
"기타금융수익",1,0,0
"금융원가",99,156,173
"이자비용",28,41,70
"외환손실",65,17,19
"대손상각비",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0
"매출채권처분손실",0,0,0
"금융자산처분손실",2,18,9
"금융자산평가손실",4,79,74
"금융자산손상차손",0,0,0
"파생상품손실",0,0,0
"기타금융원가",0,0,0
"기타수익",59,46,52
"재고자산감모손실환입",0,0,0
"재고자산폐기(처분)이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,0,0
"자산처분(폐기)이익",35,6,1
"자산평가이익",0,0,0
"자산손상차손환입",0,0,0
"임대료수익",2,10,20
"로열티수익",0,0,0
"수수료수익",0,0,0
"대손충당금환입",0,0,0
"충당부채환입액",0,0,0
"기타비용",52,51,61
"재고자산감모손실",0,0,0
"재고자산폐기(처분)손실",3,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,0,0
"자산처분(폐기)손실",7,4,5
"자산평가손실",0,0,0
"자산손상차손",10,17,1
"기타대손상각비",0,12,-6
"충당부채전입액",0,0,0
"종속기업,공동지배기업및관계기업관련손익",-3,-11,-139
"지분법손익",-3,2,-3
"종속기업,공동지배기업및관계기업투자주식처분손익",0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0
"세전계속사업이익",369,-54,93
"법인세비용",91,17,16
"계속영업이익",275,-70,76
"중단영업이익",0,0,0
"당기순이익",275,-70,76
"지배주주순이익",112,-82,-40
"비지배주주순이익",-6,-10,-3
"자산",6892,7927,9294
"유동자산",3466,3785,3654
"재고자산",916,1188,863
"유동생물자산",0,0,0
"유동금융자산",1040,1094,980
"매출채권및기타유동채권",728,819,741
"당기법인세자산",8,6,10
