"","033180","012690","256150","053620","009770"
"2016-01-25",3317,3970,NA,8990,34900
"2016-01-26",3191,3905,NA,8850,34350
"2016-01-27",3191,3880,NA,8850,34850
"2016-01-28",3336,3860,NA,8900,34850
"2016-01-29",3563,3850,NA,9190,35000
"2016-02-01",3491,4055,NA,9180,34600
"2016-02-02",3665,3925,NA,8960,35300
"2016-02-03",3558,4055,NA,9050,35450
"2016-02-04",3336,4060,NA,9060,35000
"2016-02-05",3423,4205,NA,9120,35000
"2016-02-11",3346,4135,NA,8970,34900
"2016-02-12",3065,3850,NA,8820,35000
"2016-02-15",3312,3885,NA,9000,35400
"2016-02-16",3346,4030,NA,8920,35450
"2016-02-17",4346,4015,NA,8900,35600
"2016-02-18",4158,4045,NA,9000,35850
"2016-02-19",4351,4220,NA,9010,34500
"2016-02-22",4375,4265,NA,9100,34400
"2016-02-23",4762,4205,NA,9060,34650
"2016-02-24",4757,4185,NA,9090,35000
"2016-02-25",4854,4135,NA,9090,35150
"2016-02-26",4806,4135,NA,9070,34750
"2016-02-29",4719,4140,NA,9250,34000
"2016-03-02",4695,4235,NA,9680,34150
"2016-03-03",4670,4200,NA,9670,34750
"2016-03-04",4757,4250,NA,9710,35000
"2016-03-07",5289,4260,NA,9700,35150
"2016-03-08",5202,4180,NA,9790,35100
"2016-03-09",5212,4205,NA,9800,35650
"2016-03-10",4835,4160,NA,9650,36800
"2016-03-11",4738,4270,NA,9700,36700
"2016-03-14",5396,4240,NA,9770,36750
"2016-03-15",5270,4160,NA,9780,36450
"2016-03-16",5212,4325,NA,9790,36500
"2016-03-17",5038,4290,NA,9760,36800
"2016-03-18",5028,4480,NA,9900,36800
"2016-03-21",5096,4370,NA,10050,37100
"2016-03-22",5173,4435,NA,10750,37650
"2016-03-23",4564,4305,NA,9800,37250
"2016-03-24",4346,4295,NA,9870,37350
"2016-03-25",4487,4265,NA,9640,37200
"2016-03-28",4371,4335,NA,9510,37200
"2016-03-29",4506,4380,NA,9960,37500
"2016-03-30",4332,4375,NA,9990,37500
"2016-03-31",4264,4375,NA,9970,37500
"2016-04-01",4351,4415,NA,10100,37500
"2016-04-04",4230,4575,NA,10600,37600
"2016-04-05",4148,4505,NA,10500,37600
"2016-04-06",4206,4425,NA,10600,37550
"2016-04-07",4496,4385,NA,10450,37400
"2016-04-08",4578,4400,NA,10300,37400
"2016-04-11",4719,4340,NA,10150,37650
"2016-04-12",4583,4295,NA,10200,37900
"2016-04-14",4646,4255,NA,10300,38250
"2016-04-15",4709,4290,NA,10450,38250
"2016-04-18",4709,4345,NA,10700,37650
"2016-04-19",4554,4365,NA,10700,37900
"2016-04-20",4661,4390,NA,10750,37750
"2016-04-21",4453,4450,NA,10800,38500
"2016-04-22",4593,4425,NA,11000,38400
"2016-04-25",4922,4360,NA,11300,38550
"2016-04-26",4854,4315,NA,11100,38250
"2016-04-27",4767,4340,NA,11000,38500
"2016-04-28",4501,4295,NA,10800,37850
