"","036630"
"2016-01-25",2043
"2016-01-26",1789
"2016-01-27",2062
"2016-01-28",1860
"2016-01-29",1453
"2016-02-01",1019
"2016-02-02",982
"2016-02-03",919
"2016-02-04",959
"2016-02-05",941
"2016-02-11",851
"2016-02-12",810
"2016-02-15",919
"2016-02-16",870
"2016-02-17",833
"2016-02-18",895
"2016-02-19",933
"2016-02-22",904
"2016-02-23",908
"2016-02-24",908
"2016-02-25",887
"2016-02-26",861
"2016-02-29",887
"2016-03-02",866
"2016-03-03",895
"2016-03-04",883
"2016-03-07",861
"2016-03-08",887
"2016-03-09",870
"2016-03-10",861
"2016-03-11",853
"2016-03-14",836
"2016-03-15",838
"2016-03-16",834
"2016-03-17",840
"2016-03-18",866
"2016-03-21",839
"2016-03-22",798
"2016-03-23",773
"2016-03-24",777
"2016-03-25",775
"2016-03-28",747
"2016-03-29",883
"2016-03-30",1014
"2016-03-31",967
"2016-04-01",895
"2016-04-04",870
"2016-04-05",861
"2016-04-06",1119
"2016-04-07",1144
"2016-04-08",1090
"2016-04-11",1102
"2016-04-12",1014
"2016-04-14",1052
"2016-04-15",1064
"2016-04-18",1030
"2016-04-19",1035
"2016-04-20",1014
"2016-04-21",1073
"2016-04-22",1064
"2016-04-25",1039
"2016-04-26",1077
"2016-04-27",1043
"2016-04-28",1064
"2016-04-29",1081
"2016-05-02",1039
"2016-05-03",1026
"2016-05-04",1052
"2016-05-09",1064
"2016-05-10",1052
"2016-05-11",1035
"2016-05-12",1039
"2016-05-13",1039
"2016-05-16",1056
"2016-05-17",1060
"2016-05-18",1060
"2016-05-19",1052
"2016-05-20",1064
"2016-05-23",1060
"2016-05-24",1056
"2016-05-25",1052
"2016-05-26",1056
"2016-05-27",1056
"2016-05-30",1077
"2016-05-31",1220
"2016-06-01",1195
"2016-06-02",1237
"2016-06-03",1343
"2016-06-07",1356
"2016-06-08",1233
"2016-06-09",1237
"2016-06-10",1220
"2016-06-13",1166
"2016-06-14",1157
"2016-06-15",1166
"2016-06-16",1085
"2016-06-17",1077
"2016-06-20",1111
"2016-06-21",1191
"2016-06-22",1174
"2016-06-23",1115
"2016-06-24",1043
"2016-06-27",1060
"2016-06-28",1115
