"","038540","007330"
"2016-01-25",2926,5450
"2016-01-26",2992,5600
"2016-01-27",3067,5890
"2016-01-28",3092,5900
"2016-01-29",3133,6140
"2016-02-01",3167,6030
"2016-02-02",3158,5950
"2016-02-03",3233,5940
"2016-02-04",3258,6000
"2016-02-05",3191,5650
"2016-02-11",3100,5480
"2016-02-12",3050,5150
"2016-02-15",3009,5280
"2016-02-16",3050,5350
"2016-02-17",3050,5370
"2016-02-18",3058,5180
"2016-02-19",3058,5330
"2016-02-22",3167,5330
"2016-02-23",3175,5290
"2016-02-24",3158,5290
"2016-02-25",3042,5290
"2016-02-26",3042,5270
"2016-02-29",3050,5280
"2016-03-02",3108,6080
"2016-03-03",3125,5620
"2016-03-04",3108,5620
"2016-03-07",3266,5730
"2016-03-08",3191,5690
"2016-03-09",3183,5770
"2016-03-10",3158,5760
"2016-03-11",3324,5760
"2016-03-14",3432,5610
"2016-03-15",3416,5690
"2016-03-16",3399,5730
"2016-03-17",3499,5620
"2016-03-18",3399,5680
"2016-03-21",3308,5900
"2016-03-22",3399,5790
"2016-03-23",3374,5760
"2016-03-24",3300,5780
"2016-03-25",3233,5750
"2016-03-28",3275,5870
"2016-03-29",3482,5830
"2016-03-30",3757,5830
"2016-03-31",3665,5870
"2016-04-01",3823,5760
"2016-04-04",3840,5700
"2016-04-05",3848,5760
"2016-04-06",3823,5830
"2016-04-07",3890,5860
"2016-04-08",3865,5810
"2016-04-11",3831,5810
"2016-04-12",3848,5890
"2016-04-14",3989,5890
"2016-04-15",3989,5870
"2016-04-18",3915,5920
"2016-04-19",3890,5930
"2016-04-20",3973,5830
"2016-04-21",3906,5840
"2016-04-22",3873,5980
"2016-04-25",3723,5910
"2016-04-26",3823,5970
"2016-04-27",3823,5870
"2016-04-28",3823,5850
"2016-04-29",3823,5820
"2016-05-02",3823,5970
"2016-05-03",3823,5820
"2016-05-04",3823,5890
"2016-05-09",3823,5860
"2016-05-10",3823,5760
"2016-05-11",3823,5750
"2016-05-12",3823,5720
"2016-05-13",3823,5860
"2016-05-16",3823,5800
"2016-05-17",3823,5700
"2016-05-18",3823,5700
"2016-05-19",3823,5700
"2016-05-20",3744,5710
"2016-05-23",3798,5720
"2016-05-24",3628,5750
"2016-05-25",3449,5730
"2016-05-26",3424,5660
"2016-05-27",3466,5650
"2016-05-30",3541,5610
"2016-05-31",3491,5700
"2016-06-01",3437,5750
"2016-06-02",3432,5750
"2016-06-03",3595,5750
"2016-06-07",3578,5610
"2016-06-08",3574,5650
"2016-06-09",3644,5500
"2016-06-10",3761,5550
"2016-06-13",3773,5630
"2016-06-14",3782,5620
"2016-06-15",3782,5600
"2016-06-16",3649,5660
"2016-06-17",3644,5500
"2016-06-20",3682,5620
"2016-06-21",3732,5610
"2016-06-22",3740,5450
"2016-06-23",3657,5360
"2016-06-24",3391,5230
"2016-06-27",3408,5300
"2016-06-28",3590,5330
"2016-06-29",3686,5390
"2016-06-30",3802,5350
"2016-07-01",3836,5470
"2016-07-04",4089,5350
"2016-07-05",4085,5250
"2016-07-06",4056,5290
