"","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",123253,113190,113731,110288
"매출원가",103395,93280,95414,91195
"매출총이익",19861,19910,18316,19102
"판매비와관리비",14925,16063,14126,13488
"인건비",5791,6971,5227,5039
"유무형자산상각비",875,896,810,825
"연구개발비",2131,1682,1597,1762
"광고선전비",686,602,566,468
"판매비",1898,1947,1695,1223
"관리비",3835,2799,2425,2532
"기타원가성비용",0,0,0,0
"기타",-296,1158,1797,1631
"영업이익",4938,3845,4196,5610
"영업이익(발표기준)",4938,3845,4196,5610
"금융수익",-821,7237,411,1492
"이자수익",605,323,366,293
"배당금수익",96,70,14,1
"외환이익",322,3458,577,974
"대손충당금환입액",0,0,0,0
"매출채권처분이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0
"금융자산처분이익",-6,5,5,23
"금융자산평가이익",35,17,23,102
"금융자산손상차손환입",0,0,0,0
"파생상품이익",-1646,3293,-692,-153
"기타금융수익",-231,71,109,245
"금융원가",2301,10611,2374,3572
"이자비용",2653,2283,2446,2275
"외환손실",207,3870,833,620
"대손상각비",0,0,2,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0
"매출채권처분손실",1,4,3,1
"금융자산처분손실",3,5,3,22
"금융자산평가손실",133,153,-25,-11
"금융자산손상차손",-3,0,0,0
"파생상품손실",-703,4015,-1576,-167
"기타금융원가",5,276,686,829
"기타수익",572,1257,1792,714
"재고자산감모손실환입",0,0,0,0
"재고자산폐기(처분)이익",-4,1,1,1
"당기손익-공정가치측정<U+00A0>금융자산평가이익",33,3,-8,2
"자산처분(폐기)이익",153,101,49,91
"자산평가이익",-18,10,4,119
"자산손상차손환입",74,1,1,39
"임대료수익",18,14,10,9
"로열티수익",0,0,0,0
"수수료수익",5,17,-3,22
"대손충당금환입",24,6,15,-13
"충당부채환입액",1,0,1,0
"기타비용",5546,2294,3363,828
"재고자산감모손실",0,0,0,0
"재고자산폐기(처분)손실",0,8,7,1
"당기손익-공정가치측정<U+00A0>금융자산평가손실",60,45,-14,-1
"자산처분(폐기)손실",526,165,134,122
"자산평가손실",11,54,-23,12
"자산손상차손",959,10,1293,28
"기타대손상각비",1749,836,1261,112
"충당부채전입액",47,0,7,0
"종속기업,공동지배기업및관계기업관련손익",-78,-164,-142,66
"지분법손익",-71,-163,-113,73
"종속기업,공동지배기업및관계기업투자주식처분손익",4,0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",-17,0,0,0
"세전계속사업이익",-3236,-728,516,3492
"법인세비용",348,1717,1705,2253
"계속영업이익",-3582,-2451,-1189,1231
"중단영업이익",-94,-6,-3,-2
"당기순이익",-3677,-2457,-1192,1229
