"","210980","034830","123890","034810","007680","056730","005110"
"2016-01-25",42224,3195,NA,16500,NA,7725,3580
"2016-01-26",42557,3100,NA,16250,NA,7686,3412
"2016-01-27",42757,3145,NA,16350,NA,6960,3306
"2016-01-28",42024,3175,NA,16900,NA,6979,3333
"2016-01-29",43424,3135,NA,16800,NA,7763,3255
"2016-02-01",42357,3160,NA,16700,NA,8509,3216
"2016-02-02",42624,3170,NA,16700,NA,9044,3224
"2016-02-03",41957,3180,NA,16100,NA,8069,3024
"2016-02-04",42424,3470,NA,16100,NA,7993,3130
"2016-02-05",41690,3395,NA,16050,NA,7763,3236
"2016-02-11",40689,3230,NA,15150,NA,7304,3001
"2016-02-12",38088,3205,NA,14250,NA,7304,2738
"2016-02-15",39155,3480,NA,14550,NA,7189,3181
"2016-02-16",39155,3465,NA,14950,NA,7113,3181
"2016-02-17",39089,3395,NA,14750,NA,7954,3048
"2016-02-18",39022,3395,NA,14950,NA,7438,3185
"2016-02-19",38822,3475,NA,15000,NA,7399,3232
"2016-02-22",39889,3770,NA,15100,NA,7285,3239
"2016-02-23",41156,3735,NA,15200,NA,7343,3126
"2016-02-24",42691,3725,NA,15300,NA,7247,3142
"2016-02-25",42357,3655,NA,15200,NA,7037,3330
"2016-02-26",42691,3750,NA,15050,NA,7037,3326
"2016-02-29",42424,3695,NA,15550,NA,7152,3326
"2016-03-02",43158,3790,NA,16150,NA,7075,3404
"2016-03-03",42424,3780,NA,16800,NA,7075,3369
"2016-03-04",42357,3690,NA,17100,NA,7075,3459
"2016-03-07",42490,3635,NA,17100,NA,6998,3435
"2016-03-08",42157,3670,NA,16900,NA,6807,3525
"2016-03-09",43825,3525,NA,17050,NA,6826,3576
"2016-03-10",43891,3660,NA,17150,NA,7017,3588
"2016-03-11",43024,3700,NA,16950,NA,6846,3651
"2016-03-14",42157,3550,NA,17050,NA,7056,3588
"2016-03-15",42157,3550,NA,16750,NA,7304,3553
"2016-03-16",41957,3605,NA,16500,NA,7553,3619
"2016-03-17",41290,3625,NA,16800,NA,8184,3619
"2016-03-18",41156,3635,NA,17600,NA,8452,3612
"2016-03-21",41223,3520,NA,17550,NA,8222,3568
"2016-03-22",39689,3410,NA,17300,NA,7821,3568
"2016-03-23",40089,3435,NA,17900,NA,7534,3541
"2016-03-24",39489,3445,NA,17900,NA,7763,3345
"2016-03-25",39289,3620,NA,17250,NA,7572,3486
"2016-03-28",39022,3565,NA,16750,NA,7399,3498
"2016-03-29",38622,3575,NA,16800,NA,7572,3502
"2016-03-30",38355,3525,NA,16600,NA,7419,3502
"2016-03-31",38221,3470,NA,16650,NA,7247,3490
"2016-04-01",37488,3375,NA,16350,NA,7247,3431
"2016-04-04",39155,3350,NA,16100,NA,7189,3388
"2016-04-05",38088,3320,NA,16050,NA,7017,3392
"2016-04-06",37554,3265,NA,16000,NA,6903,3388
"2016-04-07",36487,3395,NA,16500,NA,6846,3326
"2016-04-08",38021,3340,NA,16500,NA,7056,3310
"2016-04-11",36621,3410,NA,16500,NA,6960,3565
"2016-04-12",35620,3345,NA,16350,NA,7037,3584
"2016-04-14",35620,3295,NA,16600,NA,7056,3941
"2016-04-15",35887,3335,NA,16550,NA,6922,3815
"2016-04-18",35620,3365,NA,16500,NA,6884,3251
"2016-04-19",36687,3330,NA,16500,NA,6788,3314
"2016-04-20",36020,3315,NA,19150,NA,6769,3341
"2016-04-21",37354,3335,NA,18750,NA,6979,3408
"2016-04-22",36821,3300,NA,20100,NA,7247,3702
"2016-04-25",37221,3265,NA,19950,NA,7247,3706
"2016-04-26",36754,3270,NA,19200,NA,7133,3612
"2016-04-27",36754,3240,NA,18850,NA,7113,3612
"2016-04-28",38088,3220,NA,18850,NA,7591,3635
"2016-04-29",38221,3510,NA,19100,NA,7782,3631
"2016-05-02",37221,3515,NA,19500,NA,6846,3760
"2016-05-03",36821,3485,NA,19300,NA,6807,3741
"2016-05-04",36554,3530,NA,18300,NA,6578,3764
"2016-05-09",36687,3580,NA,18300,NA,5947,3737
"2016-05-10",37621,3520,NA,18500,NA,6196,3713
"2016-05-11",37688,3500,NA,18750,NA,6004,3870
"2016-05-12",37688,3505,NA,19000,NA,6310,3972
"2016-05-13",37821,3500,NA,19800,NA,6425,4223
"2016-05-16",37754,3520,NA,20300,NA,6310,5327
"2016-05-17",38088,3550,NA,20700,NA,6023,4849
"2016-05-18",37955,3510,NA,20400,NA,5813,5507
"2016-05-19",37354,3575,NA,19700,NA,5431,5617
"2016-05-20",37221,3500,NA,19850,NA,5660,5562
