"","X2017.12","X2018.12","X2019.12"
"매출액",533698,522142,546722
"매출원가",1413,1094,1575
"매출총이익",532284,521049,545147
"판매비와관리비",494824,489000,515755
"인건비",64188,70669,77857
"유무형자산상각비",81533,80733,94714
"연구개발비",5650,5669,5581
"광고선전비",11535,8977,8770
"판매비",41382,37629,42402
"관리비",111334,108635,102144
"기타원가성비용",59683,58440,61096
"기타",119517,118246,123191
"영업이익",37461,32047,29389
"영업이익(발표기준)",37461,32047,29389
"금융수익",7999,6667,6100
"이자수익",1957,3499,3883
"배당금수익",127,356,103
"외환이익",3260,419,591
"대손충당금환입액",0,0,0
"매출채권처분이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0
"금융자산처분이익",234,201,168
"금융자산평가이익",0,0,0
"금융자산손상차손환입",99,0,0
"파생상품이익",2240,1212,1182
"기타금융수익",80,143,128
"금융원가",12203,9550,9988
"이자비용",7213,7118,7886
"외환손실",802,1631,1418
"대손상각비",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,225,78
"매출채권처분손실",352,362,305
"금융자산처분손실",360,0,0
"금융자산평가손실",0,41,50
"금융자산손상차손",221,0,0
"파생상품손실",2782,146,165
"기타금융원가",473,26,87
"기타수익",3921,3430,4255
"재고자산감모손실환입",0,0,0
"재고자산폐기(처분)이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,0,0
"자산처분(폐기)이익",611,921,449
"자산평가이익",0,0,0
"자산손상차손환입",0,0,0
"임대료수익",6,5,3
"로열티수익",0,0,0
"수수료수익",0,0,0
"대손충당금환입",16,1,2
"충당부채환입액",0,0,0
"기타비용",10338,8095,7382
"재고자산감모손실",0,0,0
"재고자산폐기(처분)손실",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,0,0
"자산처분(폐기)손실",3217,2163,1648
"자산평가손실",0,0,0
"자산손상차손",1921,2902,2165
"기타대손상각비",98,317,397
"충당부채전입액",0,1,0
"종속기업,공동지배기업및관계기업관련손익",22306,32536,4227
"지분법손익",-9,2,12
"종속기업,공동지배기업및관계기업투자주식처분손익",0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0
"세전계속사업이익",49144,57035,26603
"법인세비용",11417,13376,7449
"계속영업이익",37727,43658,19152
"중단영업이익",0,-98,-21
"당기순이익",37727,43560,19131
"지배주주순이익",36256,42771,18892
"비지배주주순이익",1426,777,218
"자산",753443,887951,969192
"유동자산",190327,242366,249443
"재고자산",10707,14585,12688
"유동생물자산",0,0,0
"유동금융자산",18686,23718,20812
"매출채권및기타유동채권",115156,106851,111933
"당기법인세자산",91,61,1326
"계약자산",0,13189,15707
"반품(환불)자산",0,0,0
"배출권",0,0,0
"기타유동자산",6959,37580,43422
"현금및현금성자산",38652,46201,40647
"매각예정비유동자산및처분자산집단",72,180,2908
"비유동자산",563116,645587,719748
"유형자산",303330,303465,350763
"무형자산",91152,135855,128940
"비유동생물자산",0,0,0
"투자부동산",12462,11523,14472
"장기금융자산",20000,14266,19095
"관계기업등지분관련투자자산",98578,131345,137133
"장기매출채권및기타비유동채권",22516,21823,28299
"이연법인세자산",11966,5380,5218
"장기당기법인세자산",0,0,0
"기타비유동자산",3108,16235,28752
"기타금융업자산",0,0,0
"부채",387169,447133,514122
"유동부채",203228,201856,226805
"단기사채",8,379,258
"단기차입금",3063,2121,1335
"유동성장기부채",41486,35722,33791
"유동금융부채",656,9,4440
"매입채무및기타유동채무",145471,144751,164997
"유동종업원급여충당부채",0,0,0
"기타단기충당부채",1256,1975,2608
"당기법인세부채",4088,5110,895
"계약부채",0,3948,4529
"반품(환불)부채",0,0,0
"배출부채",47,22,53
"기타유동부채",7154,7817,12230
"매각예정으로분류된처분자산집단에포함된부채",0,0,1670
"비유동부채",183941,245275,287319
"사채",122446,134400,161417
"장기차입금",11392,25276,35694
"비유동금융부채",1604,1677,10122
"장기매입채무및기타비유동채무",27513,42881,33307
"비유동종업원급여충당부채",5869,7417,6753
"기타장기충당부채",1923,3035,1754
"이연법인세부채",11072,25560,30281
"장기당기법인세부채",0,0,0
"기타비유동부채",2125,3653,6679
"기타금융업부채",0,0,0
"자본",366272,440821,455069
"지배기업주주지분",349588,425915,437664
"자본금",42773,42810,43101
"신종자본증권",3985,3988,3988
"자본잉여금",53500,53038,53318
"기타자본",-43318,-38555,-34944
"기타포괄손익누계액",-2021,-3278,-1377
"이익잉여금(결손금)",295571,368757,374423
"비지배주주지분",15782,14064,16562
"영업활동으로인한현금흐름",100245,104078,100101
"당기순손익",37723,43558,19129
"법인세비용차감전계속사업이익",4,2,2
"현금유출이없는비용등가산",117641,137494,145504
"퇴직급여",4177,4584,5010
"종업원급여",0,0,0
"주식보상비",6,9,24
"감가상각비",75158,74681,87343
"무형자산상각비",8820,8747,9732
"계약부채전입액",0,0,0
"반품(환불)부채전입액",0,0,0
"배출부채전입액",0,0,0
"기타의대손상각비",65,106,131
"배당금지급",0,0,0
"금융부채관련손실",7,15,0
"사채상환손실",0,0,5
"투자자산평가손실",0,0,0
"자산재평가손실",0,0,0
"지분법관련손실",3,127,283
"종속기업관련손실",4,0,12
"관계기업관련손익",201,60,33
"(현금유입이없는수익등차감)",33359,43407,14694
"금융부채관련이익",0,0,1
"사채상환이익",0,0,0
"퇴직급여충당부채환입액",0,0,0
"계약부채환입액",0,2930,3597
"반품(환불)부채환입액",0,0,0
"배출부채환입액",0,0,0
"주식보상비환입",0,0,0
"투자자산평가이익",0,0,0
"자산재평가이익",0,0,0
"지분법관련이익",-8,7,48
"종속회사관련이익",4,0,19
"법인세수익",8,23,0
"영업활동으로인한자산부채변동(운전자본변동)",-8538,-25242,-40739
"자산의감소(증가)",-15971,-15212,-41469
"부채의증가(감소)",7506,-10465,762
"정부보조금등의변동",-131,482,6
"기타운전자본의변동",57,-46,-39
"*영업에서창출된현금흐름",113473,112406,109202
"기타영업활동으로인한현금흐름",-13228,-8329,-9102
"이자수입",1803,3309,3683
"이자지급(-)",-5980,-6516,-6950
"배당금수입",1178,2103,2604
"배당금지급(-)",0,0,0
"법인세환입",0,0,1
"법인세납부(-)",-10228,-7221,-8439
"중단영업관련현금흐름",0,0,0
"투자활동으로인한현금흐름",-79080,-83892,-107526
"투자활동으로인한현금유입액",16170,17651,23016
"유동금융자산의감소",2257,7844,15642
"장기금융상품의감소",6861,854,277
"매도가능금융자산의감소",1526,39,109
"만기보유금융자산의감소",0,0,0
"장기대여금의감소",967,1307,1097
"파생상품의변동",2,0,6
"기타비유동금융자산의감소",0,7,15
"관계기업등지분관련투자자산의감소",1024,850,437
"유형자산의감소",1175,1562,889
"무형자산의감소",373,315,254
"생물자산의감소",0,0,0
"투자부동산의감소",0,0,0
"기타투자활동으로인한현금유입액",1986,4873,4285
"(투자활동으로인한현금유출액)",95253,101544,130542
"유동금융자산의증가",4033,9811,14737
"장기금융상품의증가",12845,755,281
"매도가능금융자산의증가",963,80,124
"만기보유금융자산의증가",0,0,0
"장기대여금의증가",1060,1382,1289
"기타비유동금융자산의증가",0,10,31
"관계기업등지분관련투자자산의증가",2675,2587,3413
"유형자산의증가",63508,62970,89825
"무형자산의증가",9127,16501,9170
"생물자산의증가",0,0,0
"투자부동산의증가",0,0,0
"기타투자활동으로인한현금유출액",1043,7452,11673
"기타투자활동으로인한현금흐름",0,0,0
"재무활동으로인한현금흐름",-29904,-12665,3578
"재무활동으로인한현금유입액",26732,72083,68077
"사채의증가",12809,21635,31609
"차입금의증가",12257,40899,31242
"미지급금의증가",0,0,0
"유동성장기부채의증가",0,0,0
"기타금융부채의증가",716,343,462
"기타부채의증가",0,0,0
"유상증자",60,60,83
"자기주식의처분",0,0,3000
"주식매입선택권의행사",0,15,8
"자본구성항목의증가",409,4999,1014
"기타재무활동으로인한현금유입액",481,4130,658
"(재무활동으로인한현금유출액)",45417,72763,52336
"사채의감소",8495,14880,9554
"차입금의감소",20740,39824,16070
"미지급금의감소",3055,3056,4282
"유동성장기부채의감소",10401,8667,8850
"기타금융부채의감소",1878,1218,11949
"기타부채의감소",0,0,0
"유상감자",0,0,0
"자기주식의취득",50,294,0
"자본구성항목의감소",793,823,1622
"기타재무활동으로인한현금유출액",6,4000,10
"기타재무활동으로인한현금흐름",-11218,-11983,-12162
"영업투자재무활동기타현금흐름",0,0,-1630
"연결범위변동으로인한현금의증가",-1,0,0
