"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률","fics산업군"
"1","005930","삼성전자",87200,200,0.23,"KOSPI","전기전자",520565038360000,3166,27.54,37528,2.32,1416,1.62,"휴대폰 및 관련부품"
"2","000660","SK하이닉스",130500,0,0,"KOSPI","전기전자",95004308632500,2943,44.34,65836,1.98,1000,0.77,"반도체 및 관련장비"
"3","051910","LG화학",1e+06,3000,0.3,"KOSPI","화학",7.0592343e+13,4085,244.8,217230,4.6,2000,0.2,"화학"
"4","005380","현대차",259000,-2500,-0.96,"KOSPI","운수장비",55340060433000,11310,22.9,253001,1.02,4000,1.54,"자동차"
"5","207940","삼성바이오로직스",795000,-1000,-0.13,"KOSPI","의약품",5.2601175e+13,3067,259.21,65812,12.08,0,0,"바이오"
"6","006400","삼성SDI",744000,12000,1.64,"KOSPI","전기전자",51160810320000,5331,139.56,175114,4.25,1000,0.13,"전자 장비 및 기기"
"7","035420","NAVER",308000,0,0,"KOSPI","서비스업",50593125660000,4006,76.88,35223,8.74,376,0.12,"인터넷 서비스"
"8","068270","셀트리온",311000,-1500,-0.48,"KOSPI","의약품",41984317355000,2196,141.62,20421,15.23,0,0,"바이오"
"9","035720","카카오",444000,4000,0.91,"KOSPI","서비스업",39294887112000,NA,NA,60603,7.33,127,0.03,"인터넷 서비스"
"10","000270","기아차",87600,4200,5.04,"KOSPI","운수장비",35509829197200,4556,19.23,71487,1.23,1150,1.31,"자동차"
"11","012330","현대모비스",342000,-3000,-0.87,"KOSPI","운수장비",32508705348000,24234,14.11,339207,1.01,4000,1.17,"자동차부품"
"12","066570","LG전자",167000,19000,12.84,"KOSPI","전기전자",27329184938000,169,988.17,79245,2.11,750,0.45,"내구소비재"
"13","028260","삼성물산",142000,-2000,-1.39,"KOSPI","유통업",26537965502000,6366,22.31,125948,1.13,2000,1.41,"복합 산업"
"14","096770","SK이노베이션",274500,4500,1.67,"KOSPI","화학",25381797318000,NA,NA,186398,1.47,3000,1.09,"석유 및 가스"
"15","051900","LG생활건강",1554000,3000,0.19,"KOSPI","화학",24270678138000,46431,33.47,234042,6.64,11000,0.71,"개인생활용품"
"16","005490","POSCO",272000,1000,0.37,"KOSPI","철강금속",23714819120000,22823,11.92,510076,0.53,10000,3.68,"금속 및 광물"
"17","034730","SK",334000,25000,8.09,"KOSPI","기타금융",23500339198000,12917,25.86,235255,1.42,5000,1.5,"석유 및 가스"
"18","091990","셀트리온헬스케어",140900,900,0.64,"KOSDAQ","유통",21390003919800,427,329.98,10816,13.03,0,0,"바이오"
"19","036570","엔씨소프트",965000,8000,0.84,"KOSPI","서비스업",21185631230000,17387,55.5,113836,8.48,5220,0.54,"게임 소프트웨어"
"20","017670","SK텔레콤",248500,3500,1.43,"KOSPI","통신업",20065309183500,12144,20.46,284310,0.87,10000,4.02,"무선통신"
"21","105560","KB금융",45150,-50,-0.11,"KOSPI","기타금융",18773727588000,8451,5.34,92672,0.49,2210,4.89,"상업은행"
"22","003550","LG",108500,5500,5.34,"KOSPI","기타금융",18722448713500,6143,17.66,107050,1.01,2200,2.03,"복합 산업"
"23","055550","신한지주",33100,50,0.15,"KOSPI","기타금융",17097038238500,7000,4.73,79682,0.42,1850,5.59,"상업은행"
"24","015760","한국전력",24850,-100,-0.4,"KOSPI","전기가스업",15952807313450,NA,NA,105140,0.24,0,0,"전력"
"25","009150","삼성전기",209500,2500,1.21,"KOSPI","전기전자",15648329312000,6806,30.78,68106,3.08,1100,0.53,"전자 장비 및 기기"
"26","032830","삼성생명",78200,-1400,-1.76,"KOSPI","보험",1.564e+13,5443,14.37,178335,0.44,2650,3.39,"보험"
"27","018260","삼성에스디에스",2e+05,0,0,"KOSPI","서비스업",1.547556e+13,9521,21.01,84595,2.36,2400,1.2,"IT 서비스"
"28","090430","아모레퍼시픽",229500,6500,2.91,"KOSPI","화학",13416223455000,3477,66.01,65050,3.53,1000,0.44,"개인생활용품"
"29","326030","SK바이오팜",148000,0,0,"KOSPI","서비스업",1.1590361e+13,NA,NA,NA,NA,0,0,"제약"
"30","086790","하나금융지주",37250,-1000,-2.61,"KOSPI","기타금융",11184016809500,7898,4.72,93673,0.4,2100,5.64,"상업은행"
"31","033780","KT&G",81000,0,0,"KOSPI","기타제조업",11120692257000,8208,9.87,63008,1.29,4400,5.43,"담배"
"32","251270","넷마블",121000,500,0.41,"KOSPI","서비스업",10391232676000,1883,64.26,51919,2.33,0,0,"게임 소프트웨어"
"33","011170","롯데케미칼",292500,0,0,"KOSPI","화학",10025560057500,20860,14.02,385244,0.76,6700,2.29,"화학"
"34","018880","한온시스템",18000,350,1.98,"KOSPI","기계",9.6084e+12,597,30.15,4153,4.33,320,1.78,"자동차부품"
"35","009830","한화솔루션",57200,2000,3.62,"KOSPI","화학",9144249228400,NA,NA,34147,1.68,200,0.35,"화학"
