"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"영업활동으로인한현금흐름",12956,10783,13864,3775,6599,6227
"당기순손익",8082,9642,9171,4379,4258,4003
"법인세비용차감전계속사업이익",199,291,613,102,126,566
"현금유출이없는비용등가산",12872,15007,13718,3429,3566,2993
"퇴직급여",596,734,792,214,222,241
"종업원급여",11,55,122,22,76,24
"주식보상비",229,333,284,53,34,30
"감가상각비",895,1036,2238,561,584,591
"무형자산상각비",1289,1509,1764,408,403,387
"계약부채전입액",0,0,0,0,0,0
"반품(환불)부채전입액",0,0,0,0,0,0
"배출부채전입액",0,0,0,0,0,0
"기타의대손상각비",260,439,158,15,8,6
"배당금지급",0,0,0,0,0,0
"금융부채관련손실",116,6,266,109,30,113
"사채상환손실",0,234,8,4,199,0
"투자자산평가손실",85,73,0,0,0,0
"자산재평가손실",0,0,3,1,-1,0
"지분법관련손실",345,208,262,27,23,18
"종속기업관련손실",24,23,113,0,0,3
"관계기업관련손익",523,395,357,29,32,12
"(현금유입이없는수익등차감)",4422,6649,5354,1597,1009,1022
"금융부채관련이익",113,85,301,1,0,0
"사채상환이익",8,19,6,0,0,0
"퇴직급여충당부채환입액",0,0,0,0,0,0
"계약부채환입액",0,0,0,0,0,0
"반품(환불)부채환입액",0,0,0,0,0,0
"배출부채환입액",0,0,0,0,0,0
"주식보상비환입",3,24,1,0,0,0
"투자자산평가이익",16,0,0,0,63,0
"자산재평가이익",0,0,0,0,0,0
"지분법관련이익",22,117,196,181,115,248
"종속회사관련이익",16,1270,537,0,4,8
"법인세수익",107,29,102,63,-1,-48
"영업활동으로인한자산부채변동(운전자본변동)",-965,-2139,-1151,-1752,859,725
"자산의감소(증가)",-1971,811,-780,-893,181,-414
"부채의증가(감소)",1004,-2951,-369,-823,644,1137
"정부보조금등의변동",0,0,0,0,0,0
"기타운전자본의변동",0,-5,0,-38,38,0
"*영업에서창출된현금흐름",15768,16144,16998,4561,7800,7263
"기타영업활동으로인한현금흐름",-2812,-5366,-3136,-789,-1203,-1041
"이자수입",817,1190,1392,319,254,226
"이자지급(-)",-343,-352,-394,-135,-132,-96
"배당금수입",103,289,188,4,164,3
"배당금지급(-)",0,0,0,0,0,0
"법인세환입",6,1,23,94,11,4
"법인세납부(-)",-3390,-6498,-4341,-1065,-1504,-1174
"중단영업관련현금흐름",0,0,0,0,0,0
"투자활동으로인한현금흐름",-28093,-9197,-10406,-19078,-764,-4231
"투자활동으로인한현금유입액",55471,61307,72321,26432,19912,25196
"유동금융자산의감소",33431,45393,56331,21244,16296,21436
"장기금융상품의감소",3390,6293,5733,1139,1378,1376
"매도가능금융자산의감소",11839,18,0,0,0,0
"만기보유금융자산의감소",949,0,0,0,0,0
"장기대여금의감소",34,72,45,10,21,9
"파생상품의변동",99,1,0,0,0,0
"기타비유동금융자산의감소",2914,5383,8274,3795,1814,1977
"관계기업등지분관련투자자산의감소",634,2120,383,110,314,296
"유형자산의감소",157,503,458,17,9,11
"무형자산의감소",44,103,64,18,26,32
"생물자산의감소",0,0,0,0,0,0
"투자부동산의감소",1719,88,0,0,0,0
"기타투자활동으로인한현금유입액",257,1325,1032,96,54,58
"(투자활동으로인한현금유출액)",83610,70500,82728,45508,20676,29425
"유동금융자산의증가",38992,47145,62735,23864,16113,23748
"장기금융상품의증가",6131,6267,6401,1136,1284,1422
"매도가능금융자산의증가",10121,0,0,6,-6,0
"만기보유금융자산의증가",2274,0,0,0,0,0
"장기대여금의증가",107,79,87,25,44,45
"기타비유동금융자산의증가",2950,5675,7645,1938,1864,2160
"관계기업등지분관련투자자산의증가",2665,3542,989,17695,150,390
"유형자산의증가",1751,2268,2505,733,702,1266
"무형자산의증가",547,553,620,61,184,323
"생물자산의증가",0,0,0,0,0,0
"투자부동산의증가",11,364,289,1,32,-3
"기타투자활동으로인한현금유출액",18030,4601,1458,49,283,58
"기타투자활동으로인한현금흐름",48,0,0,0,0,0
"재무활동으로인한현금흐름",33859,-4640,-3027,5166,-3406,157
"재무활동으로인한현금유입액",47028,12451,13138,6636,2246,1040
"사채의증가",4394,947,2905,0,50,70
"차입금의증가",13142,9884,7304,6475,2067,125
"미지급금의증가",0,0,0,0,0,0
"유동성장기부채의증가",0,0,0,0,0,0
"기타금융부채의증가",40,36,299,6,-1,52
"기타부채의증가",0,1,7,0,0,0
"유상증자",26667,1151,1190,100,0,711
"자기주식의처분",16,16,2,2,0,1
"주식매입선택권의행사",152,207,361,52,17,84
"자본구성항목의증가",1180,0,33,1,27,-1
"기타재무활동으로인한현금유입액",1437,209,1037,0,86,-2
"(재무활동으로인한현금유출액)",11869,14903,14315,1268,4299,881
"사채의감소",190,495,2260,86,1211,0
"차입금의감소",11060,8519,7253,386,1934,427
"미지급금의감소",0,0,0,0,0,0
"유동성장기부채의감소",295,195,462,0,17,47
"기타금융부채의감소",42,34,704,302,802,261
"기타부채의감소",4,53,5,0,0,0
"유상감자",0,0,0,0,0,0
"자기주식의취득",12,5213,2846,164,270,8
"자본구성항목의감소",118,312,271,269,34,0
"기타재무활동으로인한현금유출액",149,80,516,58,33,138
"기타재무활동으로인한현금흐름",-1296,-2186,-1850,-200,-1350,0
"영업투자재무활동기타현금흐름",0,0,0,-7,7,0
"연결범위변동으로인한현금의증가",-7,-157,0,-1,1,0
"환율변동효과",51,169,126,411,-82,-303
"현금및현금성자산의증가",18763,-3038,558,-9735,2352,1855
"기초현금및현금성자산",12929,34101,31061,31582,21853,23863
"기말현금및현금성자산",31696,31061,31613,21853,24236,25714
