"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",909621,928455,915356,212251,229436,210373
"매출원가",815053,814419,798776,183413,200682,181368
"매출총이익",94566,114036,116580,28837,28757,28998
"판매비와관리비",49403,50766,56196,13854,13018,13488
"인건비",23149,24151,26905,6184,6348,5828
"유무형자산상각비",2090,1458,2696,705,716,669
"연구개발비",1652,1944,2393,637,598,641
"광고선전비",1162,984,1165,213,245,284
"판매비",4436,2815,3356,971,-321,343
"관리비",13923,15565,16478,3925,4330,4678
"기타원가성비용",0,0,0,0,0,0
"기타",2990,3846,3190,1214,1100,1041
"영업이익",45169,63275,60389,14981,15733,15514
"영업이익(발표기준)",45169,63275,60389,14981,15733,15514
"금융수익",8173,9477,9035,3613,1530,1210
"이자수익",3217,4185,4824,1093,1048,904
"배당금수익",220,187,199,59,80,15
"외환이익",3243,2494,1824,2112,92,49
"대손충당금환입액",3,3,1,0,1,6
"매출채권처분이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0,0,0
"금융자산처분이익",99,87,117,6,5,13
"금융자산평가이익",5,1113,203,117,158,74
"금융자산손상차손환입",1,295,21,0,0,0
"파생상품이익",133,287,589,175,11,28
"기타금융수익",1255,820,1241,47,135,124
"금융원가",15538,13150,12438,3726,2734,2578
"이자비용",8214,8941,9356,2075,2097,1940
"외환손실",5208,2427,1799,1426,255,476
"대손상각비",1,58,87,3,14,3
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,1,0,0,0
"매출채권처분손실",5,1,1,0,0,0
"금융자산처분손실",32,36,28,75,98,27
"금융자산평가손실",3,457,545,69,-2,4
"금융자산손상차손",685,345,292,26,12,21
"파생상품손실",413,402,213,14,208,2
"기타금융원가",973,482,109,32,49,101
"기타수익",19084,14899,17278,7116,2588,3299
"재고자산감모손실환입",0,0,0,0,0,0
"재고자산폐기(처분)이익",2,20,2,1,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",10,218,113,9,2,10
"자산처분(폐기)이익",2728,826,701,50,194,160
"자산평가이익",45,333,230,32,17,66
"자산손상차손환입",97,66,82,29,510,2
"임대료수익",36,71,137,27,24,25
