"","X2017.12","X2018.12","X2019.12"
"매출액",909621,928455,915356
"매출원가",815053,814419,798776
"매출총이익",94566,114036,116580
"판매비와관리비",49403,50766,56196
"인건비",23149,24151,26905
"유무형자산상각비",2090,1458,2696
"연구개발비",1652,1944,2393
"광고선전비",1162,984,1165
"판매비",4436,2815,3356
"관리비",13923,15565,16478
"기타원가성비용",0,0,0
"기타",2990,3846,3190
"영업이익",45169,63275,60389
"영업이익(발표기준)",45169,63275,60389
"금융수익",8173,9477,9035
"이자수익",3217,4185,4824
"배당금수익",220,187,199
"외환이익",3243,2494,1824
"대손충당금환입액",3,3,1
"매출채권처분이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0
"금융자산처분이익",99,87,117
"금융자산평가이익",5,1113,203
"금융자산손상차손환입",1,295,21
"파생상품이익",133,287,589
"기타금융수익",1255,820,1241
"금융원가",15538,13150,12438
"이자비용",8214,8941,9356
"외환손실",5208,2427,1799
"대손상각비",1,58,87
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,1
"매출채권처분손실",5,1,1
"금융자산처분손실",32,36,28
"금융자산평가손실",3,457,545
"금융자산손상차손",685,345,292
"파생상품손실",413,402,213
"기타금융원가",973,482,109
"기타수익",19084,14899,17278
"재고자산감모손실환입",0,0,0
"재고자산폐기(처분)이익",2,20,2
"당기손익-공정가치측정<U+00A0>금융자산평가이익",10,218,113
"자산처분(폐기)이익",2728,826,701
"자산평가이익",45,333,230
"자산손상차손환입",97,66,82
"임대료수익",36,71,137
"로열티수익",0,0,0
"수수료수익",94,79,72
"대손충당금환입",1654,1003,1365
"충당부채환입액",651,462,545
"기타비용",31590,21093,27172
"재고자산감모손실",0,0,0
"재고자산폐기(처분)손실",4,16,21
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,508,470
"자산처분(폐기)손실",892,1255,874
"자산평가손실",124,1644,859
"자산손상차손",2226,1863,2796
"기타대손상각비",7129,2852,4452
"충당부채전입액",2548,1422,4149
"종속기업,공동지배기업및관계기업관련손익",5014,1912,2141
"지분법손익",4221,2508,2336
"종속기업,공동지배기업및관계기업투자주식처분손익",0,29,18
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0
"세전계속사업이익",30319,55300,49226
