"","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",14319,13411,17014,17980
"매출원가",8246,7883,9517,9657
"매출총이익",6069,5525,7495,8326
"판매비와관리비",4436,4006,4256,4351
"인건비",1864,953,932,905
"유무형자산상각비",298,194,176,179
"연구개발비",2425,986,1133,1018
"광고선전비",256,127,145,125
"판매비",258,134,169,178
"관리비",1624,812,728,741
"기타원가성비용",0,0,0,0
"기타",-2292,797,969,1204
"영업이익",1636,1514,3236,3978
"영업이익(발표기준)",1636,1514,3236,3978
"금융수익",72,1037,287,805
"이자수익",245,145,122,109
"배당금수익",3,3,3,6
"외환이익",63,252,29,38
"대손충당금환입액",0,0,0,0
"매출채권처분이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",1,1,2,2
"금융자산처분이익",22,25,90,17
"금융자산평가이익",106,201,-55,21
"금융자산손상차손환입",0,0,6,0
"파생상품이익",84,269,1,423
"기타금융수익",-448,142,92,184
"금융원가",781,1066,406,2081
"이자비용",593,220,317,198
"외환손실",109,149,46,71
"대손상각비",2,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",1,0,9,20
"매출채권처분손실",0,0,0,0
"금융자산처분손실",1,0,3,11
"금융자산평가손실",-7,90,-12,306
"금융자산손상차손",0,0,0,0
"파생상품손실",139,255,34,617
"기타금융원가",-68,344,9,859
"기타수익",239,663,424,1075
"재고자산감모손실환입",0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",80,0,0,0
"자산처분(폐기)이익",94,9,2,3
"자산평가이익",10,0,0,0
"자산손상차손환입",0,0,1,0
"임대료수익",25,15,13,13
"로열티수익",0,0,0,0
"수수료수익",0,0,0,1
"대손충당금환입",-3,4,6,6
"충당부채환입액",0,0,0,0
"기타비용",1486,264,446,498
"재고자산감모손실",0,0,0,0
"재고자산폐기(처분)손실",9,0,2,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",58,17,-4,6
"자산처분(폐기)손실",40,1,7,14
"자산평가손실",1,0,0,0
"자산손상차손",1102,40,5,5
"기타대손상각비",50,20,4,13
"충당부채전입액",0,0,58,57
"종속기업,공동지배기업및관계기업관련손익",471,-306,-111,36
"지분법손익",475,-302,-106,36
"종속기업,공동지배기업및관계기업투자주식처분손익",0,0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0,0
"세전계속사업이익",157,1575,2986,3307
"법인세비용",-395,718,973,1200
"계속영업이익",553,855,2010,2106
"중단영업이익",0,0,0,0
"당기순이익",553,855,2010,2106
"지배주주순이익",1106,1128,2389,3104
"비지배주주순이익",-77,-17,19,-84
"자산",188366,192915,201605,210862
"유동자산",91356,94839,102023,108875
"재고자산",27309,28748,30306,32522
"유동생물자산",3,2,5,8
"유동금융자산",26674,26356,24997,26310
"매출채권및기타유동채권",18225,19672,21240,22296
"당기법인세자산",197,172,40,53
"계약자산",1779,2687,3303,4423
"반품(환불)자산",14,16,12,7
"배출권",0,0,0,0
"기타유동자산",1298,1685,2333,2843
"현금및현금성자산",15845,15499,19781,20408
"매각예정비유동자산및처분자산집단",3,3,3,3
"비유동자산",97014,98074,99581,101986
"유형자산",41300,41605,42096,42028
"무형자산",15352,15655,15834,16314
"비유동생물자산",0,0,0,0
"투자부동산",2055,2055,1957,1928
"장기금융자산",4843,4930,5629,6819
"관계기업등지분관련투자자산",28708,28529,28554,29404
"장기매출채권및기타비유동채권",407,429,655,456
"이연법인세자산",1050,832,894,934
"장기당기법인세자산",0,0,0,0
"기타비유동자산",1991,2668,2501,2490
"기타금융업자산",0,0,0,0
"부채",56462,60460,64828,67993
"유동부채",34672,37564,44741,44445
"단기사채",2164,2070,4171,3030
"단기차입금",7994,7997,8754,8889
"유동성장기부채",3314,3133,5151,4044
"유동금융부채",1572,2301,2802,2838
"매입채무및기타유동채무",13046,14926,16744,18116
"유동종업원급여충당부채",22,17,27,368
"기타단기충당부채",71,101,58,35
"당기법인세부채",839,775,1369,1622
"계약부채",2124,2484,1885,2064
"반품(환불)부채",34,34,87,94
"배출부채",6,7,10,5
"기타유동부채",3481,3719,3679,3333
"매각예정으로분류된처분자산집단에포함된부채",0,0,0,0
"비유동부채",21785,22899,20087,23554
"사채",5597,5629,2761,2490
"장기차입금",3491,3557,3037,5385
"비유동금융부채",1828,1850,1455,1836
"장기매입채무및기타비유동채무",298,284,354,347
"비유동종업원급여충당부채",731,810,936,1014
"기타장기충당부채",16,24,83,141
"이연법인세부채",5790,5831,6116,6535
"장기당기법인세부채",0,0,0,0
"기타비유동부채",2743,3445,3736,4052
"기타금융업부채",0,0,0,0
"자본",131907,132456,136779,142874
"지배기업주주지분",123915,124666,129193,135664
"자본금",9740,9342,9460,9958
"신종자본증권",0,0,0,0
"자본잉여금",94454,92554,93889,96635
"기타자본",-7411,-7612,-7637,-7396
"기타포괄손익누계액",13,-100,910,1425
"이익잉여금(결손금)",32228,35399,37252,39470
"비지배주주지분",2881,2871,2902,2774
"영업활동으로인한현금흐름",1534,1291,1912,1445
"당기순손익",828,982,1982,2043
"법인세비용차감전계속사업이익",-338,-105,35,157
"현금유출이없는비용등가산",4395,3815,3285,5065
"퇴직급여",122,114,124,103
"종업원급여",3,0,2,3
"주식보상비",188,151,148,166
"감가상각비",931,769,812,812
"무형자산상각비",407,384,381,383
"계약부채전입액",0,0,0,0
"반품(환불)부채전입액",10,3,-2,0
"배출부채전입액",1,2,3,0
"기타의대손상각비",42,1,4,0
"배당금지급",0,0,0,0
"금융부채관련손실",113,21,40,248
"사채상환손실",197,21,0,2
"투자자산평가손실",1,0,0,0
"자산재평가손실",0,0,0,0
"지분법관련손실",295,322,145,-154
"종속기업관련손실",27,0,0,0
"관계기업관련손익",66,4,7,6
"(현금유입이없는수익등차감)",1712,1577,327,1534
"금융부채관련이익",-18,2,0,42
"사채상환이익",6,40,4,2
"퇴직급여충당부채환입액",0,0,0,0
"계약부채환입액",0,0,0,0
"반품(환불)부채환입액",0,0,0,0
"배출부채환입액",0,0,0,0
"주식보상비환입",0,13,-1,0
"투자자산평가이익",10,0,0,0
"자산재평가이익",0,0,0,0
"지분법관련이익",599,20,43,-46
"종속회사관련이익",37,1,1,279
"법인세수익",418,48,0,22
"영업활동으로인한자산부채변동(운전자본변동)",-1427,-1573,-2759,-3810
"자산의감소(증가)",-1342,-4723,-4612,-7392
"부채의증가(감소)",-133,3163,1925,3536
"정부보조금등의변동",-19,-3,-1,-10
"기타운전자본의변동",69,-10,-68,55
"*영업에서창출된현금흐름",1747,1540,2216,1927
"기타영업활동으로인한현금흐름",-213,-246,-300,-480
"이자수입",83,101,88,99
"이자지급(-)",-145,-95,-158,-56
"배당금수입",1,12,3,2
"배당금지급(-)",0,0,0,0
"법인세환입",18,97,165,-87
"법인세납부(-)",-164,-359,-400,-435
"중단영업관련현금흐름",0,0,0,0
"투자활동으로인한현금흐름",-2538,-1602,207,-3586
"투자활동으로인한현금유입액",20559,18127,22558,19736
"유동금융자산의감소",16065,17529,21723,19627
"장기금융상품의감소",4171,156,75,-39
"매도가능금융자산의감소",94,3,119,1
"만기보유금융자산의감소",-40,0,0,0
"장기대여금의감소",3,91,-64,83
"파생상품의변동",27,5,3,14
"기타비유동금융자산의감소",-47,237,547,-163
"관계기업등지분관련투자자산의감소",50,62,26,78
"유형자산의감소",23,3,60,57
"무형자산의감소",10,0,15,8
"생물자산의감소",0,0,0,0
"투자부동산의감소",0,0,2,20
"기타투자활동으로인한현금유입액",200,43,50,47
"(투자활동으로인한현금유출액)",23154,19783,22401,23363
"유동금융자산의증가",15823,17755,20046,20796
"장기금융상품의증가",3931,102,211,65
"매도가능금융자산의증가",-114,0,10,19
"만기보유금융자산의증가",0,6,-6,0
"장기대여금의증가",30,4,5,-1
"기타비유동금융자산의증가",165,174,268,84
"관계기업등지분관련투자자산의증가",491,38,77,32
"유형자산의증가",1620,1165,1109,1177
"무형자산의증가",986,488,430,752
"생물자산의증가",0,0,0,0
"투자부동산의증가",13,0,0,76
"기타투자활동으로인한현금유출액",177,41,214,308
"기타투자활동으로인한현금흐름",55,50,47,42
"재무활동으로인한현금흐름",-1332,-127,2101,2786
"재무활동으로인한현금유입액",3225,2023,3550,6282
"사채의증가",251,863,447,1519
"차입금의증가",2381,625,607,3176
"미지급금의증가",0,0,0,0
"유동성장기부채의증가",0,0,816,-816
"기타금융부채의증가",611,260,1341,632
"기타부채의증가",-2,0,0,4
"유상증자",234,190,16,776
"자기주식의처분",0,0,0,0
"주식매입선택권의행사",27,59,137,564
"자본구성항목의증가",-234,19,175,191
"기타재무활동으로인한현금유입액",-44,7,11,239
"(재무활동으로인한현금유출액)",4459,2039,1321,3430
"사채의감소",1612,804,-539,707
"차입금의감소",775,666,368,852
"미지급금의감소",1,0,0,0
"유동성장기부채의감소",-203,191,1063,1636
"기타금융부채의감소",1788,235,187,179
"기타부채의감소",0,0,0,0
"유상감자",0,0,0,0
"자기주식의취득",51,133,216,0
"자본구성항목의감소",394,1,0,0
"기타재무활동으로인한현금유출액",38,8,25,53
"기타재무활동으로인한현금흐름",-96,-110,-126,-65
"영업투자재무활동기타현금흐름",0,0,0,0
"연결범위변동으로인한현금의증가",39,0,0,0
"환율변동효과",-152,98,-97,-67
"현금및현금성자산의증가",-2458,-332,4121,579
"기초현금및현금성자산",18300,15842,15484,19754
"기말현금및현금성자산",15842,15507,19608,20333
