"","X2017.12","X2018.12","X2019.12"
"매출액",101899,100885,115814
"매출원가",69454,73166,84410
"매출총이익",32446,27722,31403
"판매비와관리비",28093,23779,27122
"인건비",4683,4882,5792
"유무형자산상각비",1056,1078,1424
"연구개발비",107,130,136
"광고선전비",4439,3949,4040
"판매비",3011,1084,1606
"관리비",12896,11678,12591
"기타원가성비용",1038,452,891
"기타",862,533,642
"영업이익",4353,3941,4283
"영업이익(발표기준)",4353,3941,4283
"금융수익",1198,877,1222
"이자수익",402,415,371
"배당금수익",16,23,27
"외환이익",9,11,36
"대손충당금환입액",0,0,0
"매출채권처분이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0
"금융자산처분이익",10,26,0
"금융자산평가이익",33,391,775
"금융자산손상차손환입",0,0,0
"파생상품이익",4,10,12
"기타금융수익",724,0,0
"금융원가",197,280,558
"이자비용",138,157,339
"외환손실",22,23,41
"대손상각비",0,16,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0
"매출채권처분손실",0,0,0
"금융자산처분손실",0,0,0
"금융자산평가손실",5,78,113
"금융자산손상차손",14,0,0
"파생상품손실",0,0,8
"기타금융원가",18,6,57
"기타수익",501,390,430
"재고자산감모손실환입",0,0,0
"재고자산폐기(처분)이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,4,8
"자산처분(폐기)이익",120,28,53
"자산평가이익",0,0,0
"자산손상차손환입",0,0,0
"임대료수익",0,1,0
"로열티수익",0,0,0
"수수료수익",2,0,2
"대손충당금환입",0,17,0
"충당부채환입액",0,0,0
"기타비용",1595,745,1607
"재고자산감모손실",0,0,0
"재고자산폐기(처분)손실",3,1,2
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,49,21
"자산처분(폐기)손실",33,49,27
"자산평가손실",0,0,10
"자산손상차손",913,172,789
"기타대손상각비",245,65,114
"충당부채전입액",0,0,0
"종속기업,공동지배기업및관계기업관련손익",129,531,137
"지분법손익",-10,-19,3
"종속기업,공동지배기업및관계기업투자주식처분손익",1,252,51
"종속기업,공동지배기업및관계기업투자주식손상관련손익",-50,-89,-381
"세전계속사업이익",4391,4713,3908
"법인세비용",1446,1161,1550
"계속영업이익",2947,3553,2359
"중단영업이익",-74,0,0
"당기순이익",2873,3553,2359
"지배주주순이익",2685,3414,2127
"비지배주주순이익",156,130,218
"자산",77147,85848,88422
"유동자산",41935,44277,42811
"재고자산",3511,5442,4148
"유동생물자산",0,0,0
"유동금융자산",17387,14644,15361
"매출채권및기타유동채권",13431,15334,15483
"당기법인세자산",5,25,11
"계약자산",0,5,4
"반품(환불)자산",0,4,7
"배출권",0,0,0
"기타유동자산",2085,1996,1318
"현금및현금성자산",5515,6828,6478
"매각예정비유동자산및처분자산집단",0,0,5
"비유동자산",35217,41570,45610
"유형자산",6910,9715,12640
"무형자산",7351,10108,9283
"비유동생물자산",0,0,0
"투자부동산",4939,5059,5525
"장기금융자산",4973,4412,4906
"관계기업등지분관련투자자산",9776,10700,11022
"장기매출채권및기타비유동채권",443,491,506
"이연법인세자산",418,714,710
"장기당기법인세자산",0,0,0
"기타비유동자산",408,373,1016
"기타금융업자산",0,0,0
"부채",30303,36522,38137
"유동부채",27022,32114,29361
"단기사채",11,242,86
"단기차입금",983,2000,2230
"유동성장기부채",968,2567,970
"유동금융부채",50,231,517
"매입채무및기타유동채무",21570,24070,22422
"유동종업원급여충당부채",22,29,49
"기타단기충당부채",115,75,100
"당기법인세부채",984,628,848
"계약부채",0,589,580
"반품(환불)부채",0,104,120
"배출부채",0,0,0
"기타유동부채",2319,1580,1435
"매각예정으로분류된처분자산집단에포함된부채",0,0,0
"비유동부채",3281,4408,8776
"사채",798,921,3127
"장기차입금",744,1053,1572
"비유동금융부채",57,77,1566
"장기매입채무및기타비유동채무",56,60,62
"비유동종업원급여충당부채",237,940,1040
"기타장기충당부채",41,47,93
"이연법인세부채",1339,1300,1308
"장기당기법인세부채",0,0,0
"기타비유동부채",10,2,9
"기타금융업부채",0,0,0
"자본",46846,49327,50283
"지배기업주주지분",39891,42472,43771
"자본금",2222,2240,2243
"신종자본증권",0,0,0
"자본잉여금",9238,10088,10650
"기타자본",-1432,-2056,-2364
"기타포괄손익누계액",175,-97,-182
"이익잉여금(결손금)",31738,34367,35476
"비지배주주지분",4899,4786,4464
"영업활동으로인한현금흐름",5625,2499,5151
"당기순손익",2876,3607,2361
"법인세비용차감전계속사업이익",-2,-65,28
"현금유출이없는비용등가산",5014,4169,6670
"퇴직급여",317,327,441
"종업원급여",15,6,8
"주식보상비",12,8,5
"감가상각비",587,703,1468
"무형자산상각비",878,885,916
"계약부채전입액",0,0,0
"반품(환불)부채전입액",0,0,0
"배출부채전입액",0,0,0
"기타의대손상각비",244,81,114
"배당금지급",0,0,0
"금융부채관련손실",0,0,0
"사채상환손실",0,0,3
"투자자산평가손실",0,0,0
"자산재평가손실",0,0,0
"지분법관련손실",89,122,135
"종속기업관련손실",18,2,1
"관계기업관련손익",138,155,449
"(현금유입이없는수익등차감)",1767,1724,2012
"금융부채관련이익",0,0,0
"사채상환이익",0,0,0
"퇴직급여충당부채환입액",0,0,0
"계약부채환입액",0,0,0
"반품(환불)부채환입액",0,0,0
"배출부채환입액",0,0,0
"주식보상비환입",0,0,0
"투자자산평가이익",0,0,8
"자산재평가이익",0,0,0
"지분법관련이익",33,22,153
"종속회사관련이익",731,242,0
"법인세수익",0,2,7
"영업활동으로인한자산부채변동(운전자본변동)",941,-1940,-698
"자산의감소(증가)",5532,-796,1014
"부채의증가(감소)",-4577,-1143,-1696
"정부보조금등의변동",-11,-1,-17
"기타운전자본의변동",0,0,0
"*영업에서창출된현금흐름",7060,4042,6351
"기타영업활동으로인한현금흐름",-1436,-1543,-1199
"이자수입",211,236,251
"이자지급(-)",-126,-127,-275
"배당금수입",33,36,60
"배당금지급(-)",0,0,0
"법인세환입",0,0,0
"법인세납부(-)",-1554,-1692,-1234
"중단영업관련현금흐름",0,0,0
"투자활동으로인한현금흐름",-3021,-1520,-4595
"투자활동으로인한현금유입액",18167,21080,29103
"유동금융자산의감소",14433,13099,14757
"장기금융상품의감소",120,0,1
"매도가능금융자산의감소",308,0,0
"만기보유금융자산의감소",529,0,0
"장기대여금의감소",14,141,128
"파생상품의변동",0,0,0
"기타비유동금융자산의감소",1907,7552,13850
"관계기업등지분관련투자자산의감소",497,23,98
"유형자산의감소",280,26,22
"무형자산의감소",17,28,41
"생물자산의감소",0,0,0
"투자부동산의감소",0,0,0
