"","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",58695,45006,46905,47598
"매출원가",44393,32402,32808,33785
"매출총이익",14303,12601,14098,13812
"판매비와관리비",11770,10306,10897,10834
"인건비",7340,4106,3978,3311
"유무형자산상각비",1282,638,639,607
"연구개발비",971,611,631,605
"광고선전비",484,177,161,143
"판매비",737,576,580,501
"관리비",3059,1867,1962,1990
"기타원가성비용",167,121,106,0
"기타",-2277,2202,2836,3671
"영업이익",2531,2296,3196,2980
"영업이익(발표기준)",2531,2296,3196,2980
"금융수익",261,737,448,281
"이자수익",244,131,129,78
"배당금수익",43,4,-1,2
"외환이익",8,437,9,20
"대손충당금환입액",0,0,0,0
"매출채권처분이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0
"금융자산처분이익",2,1,5,6
"금융자산평가이익",19,12,43,5
"금융자산손상차손환입",0,0,0,0
"파생상품이익",87,127,212,1
"기타금융수익",-141,20,45,173
"금융원가",486,794,684,531
"이자비용",422,366,409,296
"외환손실",129,266,99,114
"대손상각비",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0
"매출채권처분손실",0,0,0,0
"금융자산처분손실",1,1,0,0
"금융자산평가손실",-14,52,46,2
"금융자산손상차손",0,0,0,0
"파생상품손실",3,102,98,32
"기타금융원가",-55,7,31,87
"기타수익",1676,941,547,285
"재고자산감모손실환입",0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",4,0,1,2
"자산처분(폐기)이익",38,7,1558,25
"자산평가이익",0,0,0,0
"자산손상차손환입",0,0,3,0
"임대료수익",21,13,15,15
"로열티수익",0,0,0,0
"수수료수익",0,0,0,0
"대손충당금환입",7,10,17,5
"충당부채환입액",1,0,0,0
"기타비용",1905,784,536,416
"재고자산감모손실",0,0,0,0
"재고자산폐기(처분)손실",124,0,8,1
"당기손익-공정가치측정<U+00A0>금융자산평가손실",-2,0,0,0
"자산처분(폐기)손실",-12,10,6,7
"자산평가손실",0,0,0,0
"자산손상차손",1649,0,8,27
"기타대손상각비",-324,13,32,1
"충당부채전입액",11,-2,4,3
"종속기업,공동지배기업및관계기업관련손익",102,9,27,-5
"지분법손익",54,8,8,-8
"종속기업,공동지배기업및관계기업투자주식처분손익",0,5,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,-1,0
"세전계속사업이익",2172,2398,2995,2599
"법인세비용",-5,588,761,595
"계속영업이익",2181,1814,2233,2000
"중단영업이익",-64,0,0,0
"당기순이익",2117,1814,2234,2000
"지배주주순이익",460,1756,2091,1774
"비지배주주순이익",37,11,32,117
"자산",258243,275272,286247,280672
"유동자산",145233,159885,168136,160691
"재고자산",32428,35399,37719,39434
"유동생물자산",0,0,0,0
"유동금융자산",13300,11496,13379,12845
"매출채권및기타유동채권",33037,31338,30514,30922
"당기법인세자산",618,420,12,27
"계약자산",7667,9074,9586,9258
"반품(환불)자산",9,3,0,0
"배출권",0,0,0,0
"기타유동자산",27404,32566,36414,36937
"현금및현금성자산",30618,39474,40505,31260
"매각예정비유동자산및처분자산집단",151,113,4,10
"비유동자산",113015,115388,118111,119827
"유형자산",53267,53622,54456,55105
"무형자산",36495,36992,37308,37966
"비유동생물자산",0,0,0,0
"투자부동산",1084,1086,1155,1066
"장기금융자산",4562,5474,6296,6745
"관계기업등지분관련투자자산",2245,2802,3143,3091
"장기매출채권및기타비유동채권",2388,2371,2588,2518
"이연법인세자산",6603,6620,6678,6771
"장기당기법인세자산",0,0,0,0
"기타비유동자산",6334,6355,6460,6526
"기타금융업자산",0,0,0,155
"부채",159072,177195,185898,178225
"유동부채",109105,126722,130572,123519
"단기사채",912,751,703,615
"단기차입금",11853,20435,14539,16163
"유동성장기부채",5067,8036,6661,6433
"유동금융부채",1756,2086,1960,1879
"매입채무및기타유동채무",30537,27418,26227,24488
"유동종업원급여충당부채",33,24,12,10
"기타단기충당부채",2027,1911,1887,1661
"당기법인세부채",1807,1751,1781,1855
"계약부채",23680,26952,33928,30411
"반품(환불)부채",12,0,0,0
"배출부채",9,20,19,6
"기타유동부채",31379,37343,42853,40000
"매각예정으로분류된처분자산집단에포함된부채",25,0,0,0
"비유동부채",49967,50467,55327,54699
"사채",14846,14162,17243,15910
"장기차입금",11400,11151,12701,12862
"비유동금융부채",2729,3398,3354,3707
"장기매입채무및기타비유동채무",4412,4460,4327,4039
"비유동종업원급여충당부채",12216,12864,13337,13863
"기타장기충당부채",2583,2632,2650,2618
"이연법인세부채",1142,1137,1114,1076
"장기당기법인세부채",0,0,0,0
"기타비유동부채",644,664,606,630
"기타금융업부채",0,0,0,0
"자본",99176,98079,100350,102448
"지배기업주주지분",86826,85874,87958,89772
"자본금",18329,18376,18385,18453
"신종자본증권",0,0,0,0
"자본잉여금",20431,20980,21106,21193
"기타자본",-2877,-2972,-3028,-3037
"기타포괄손익누계액",4275,4281,4334,4267
"이익잉여금(결손금)",53296,51901,54034,55938
"비지배주주지분",5722,5522,5525,5645
"영업활동으로인한현금흐름",11026,2132,12944,-5731
"당기순손익",1799,1801,1637,1286
"법인세비용차감전계속사업이익",385,43,844,845
"현금유출이없는비용등가산",5795,5433,4583,4106
"퇴직급여",723,778,819,787
"종업원급여",212,28,25,61
"주식보상비",3,10,10,17
"감가상각비",2070,1964,1902,1897
"무형자산상각비",537,495,484,454
"계약부채전입액",0,0,0,0
"반품(환불)부채전입액",0,0,0,0
"배출부채전입액",0,11,-2,0
"기타의대손상각비",-283,13,31,22
"배당금지급",0,0,0,0
"금융부채관련손실",1,1,3,-1
"사채상환손실",0,0,3,0
"투자자산평가손실",0,0,0,0
"자산재평가손실",0,0,0,0
"지분법관련손실",19,22,9,19
"종속기업관련손실",2,0,9,0
"관계기업관련손익",11,0,4,0
"(현금유입이없는수익등차감)",2034,1117,282,425
"금융부채관련이익",0,0,0,0
"사채상환이익",1,0,5,0
"퇴직급여충당부채환입액",0,0,4,2
"계약부채환입액",0,0,0,0
"반품(환불)부채환입액",0,0,0,0
"배출부채환입액",-2,0,0,0
"주식보상비환입",0,0,0,0
"투자자산평가이익",0,0,0,0
"자산재평가이익",0,0,0,0
"지분법관련이익",85,21,28,0
"종속회사관련이익",0,5,16,0
"법인세수익",387,3,-1,6
"영업활동으로인한자산부채변동(운전자본변동)",5494,-3418,6787,-10794
"자산의감소(증가)",2406,-6557,-8458,-712
"부채의증가(감소)",3059,3147,15258,-10111
"정부보조금등의변동",15,0,0,0
"기타운전자본의변동",12,0,-14,32
"*영업에서창출된현금흐름",11433,2754,13565,-4973
"기타영업활동으로인한현금흐름",-407,-618,-619,-762
"이자수입",113,123,148,112
"이자지급(-)",-286,-333,-331,-330
"배당금수입",50,7,18,3
"배당금지급(-)",0,0,0,0
"법인세환입",52,151,300,-78
"법인세납부(-)",-332,-563,-757,-468
"중단영업관련현금흐름",0,0,0,0
"투자활동으로인한현금흐름",-4735,-2807,-5600,-3437
"투자활동으로인한현금유입액",3952,3972,5907,1362
"유동금융자산의감소",1981,3274,5712,977
"장기금융상품의감소",276,0,10,6
"매도가능금융자산의감소",-11,6,1,2
"만기보유금융자산의감소",0,0,0,0
"장기대여금의감소",98,61,11,30
"파생상품의변동",-1,17,22,-10
"기타비유동금융자산의감소",-239,434,-200,14
"관계기업등지분관련투자자산의감소",71,7,101,23
"유형자산의감소",41,6,83,84
"무형자산의감소",9,4,10,41
"생물자산의감소",0,0,0,0
"투자부동산의감소",18,0,1695,36
"기타투자활동으로인한현금유입액",1705,156,-1534,155
"(투자활동으로인한현금유출액)",8674,6794,11565,4806
"유동금융자산의증가",4734,2586,7553,103
"장기금융상품의증가",68,230,19,41
"매도가능금융자산의증가",-19,0,50,33
"만기보유금융자산의증가",0,0,0,0
"장기대여금의증가",110,74,-9,370
"기타비유동금융자산의증가",-146,113,151,527
"관계기업등지분관련투자자산의증가",71,622,328,-58
"유형자산의증가",2280,1965,2255,2459
"무형자산의증가",1375,1035,902,1217
"생물자산의증가",0,0,0,0
"투자부동산의증가",0,0,0,0
"기타투자활동으로인한현금유출액",203,118,275,158
"기타투자활동으로인한현금흐름",-12,14,56,8
"재무활동으로인한현금흐름",266,9495,-6295,274
"재무활동으로인한현금유입액",21404,19240,24610,9072
"사채의증가",3084,369,5702,72
"차입금의증가",15776,18468,19001,9060
"미지급금의증가",0,0,0,0
"유동성장기부채의증가",469,93,-94,-159
"기타금융부채의증가",5,7,0,22
"기타부채의증가",0,1,0,0
"유상증자",997,205,0,60
"자기주식의처분",0,6,0,15
"주식매입선택권의행사",4,0,0,0
"자본구성항목의증가",975,83,2,0
"기타재무활동으로인한현금유입액",95,10,-1,1
"(재무활동으로인한현금유출액)",21111,9536,27914,8764
"사채의감소",1460,343,2853,1122
"차입금의감소",17224,7980,22235,6219
"미지급금의감소",0,0,0,0
"유동성장기부채의감소",1914,321,2350,894
"기타금융부채의감소",451,393,376,389
"기타부채의감소",0,0,1,1
"유상감자",0,0,0,0
"자기주식의취득",4,414,42,50
"자본구성항목의감소",2,5,-5,0
"기타재무활동으로인한현금유출액",59,77,65,89
"기타재무활동으로인한현금흐름",-27,-209,-2986,-34
"영업투자재무활동기타현금흐름",12,0,0,0
"연결범위변동으로인한현금의증가",0,0,0,0
"환율변동효과",-19,29,-19,-42
"현금및현금성자산의증가",6550,8854,1035,-8934
"기초현금및현금성자산",24017,30618,39474,38925
"기말현금및현금성자산",30578,39474,40505,29993
