"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",157746,173041,194038,45006,46905,47598
"매출원가",114369,123199,139152,32402,32808,33785
"매출총이익",43378,49844,54892,12601,14098,13812
"판매비와관리비",39212,42323,44197,10306,10897,10834
"인건비",15075,16842,18487,4106,3978,3311
"유무형자산상각비",1494,1736,3063,638,639,607
"연구개발비",2862,2503,2829,611,631,605
"광고선전비",978,773,959,177,161,143
"판매비",2402,2547,2569,576,580,501
"관리비",9024,10197,9253,1867,1962,1990
"기타원가성비용",609,582,479,121,106,0
"기타",6772,7145,6570,2202,2836,3671
"영업이익",4168,7522,10685,2296,3196,2980
"영업이익(발표기준)",4168,7522,10685,2296,3196,2980
"금융수익",857,1051,1346,737,448,281
"이자수익",284,405,552,131,129,78
"배당금수익",7,7,48,4,-1,2
"외환이익",514,370,459,437,9,20
"대손충당금환입액",0,0,0,0,0,0
"매출채권처분이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0,0,0
"금융자산처분이익",8,11,10,1,5,6
"금융자산평가이익",0,61,56,12,43,5
"금융자산손상차손환입",0,0,0,0,0,0
"파생상품이익",38,192,216,127,212,1
"기타금융수익",6,3,0,20,45,173
"금융원가",2098,1855,2222,794,684,531
"이자비용",928,1204,1418,366,409,296
"외환손실",1106,304,401,266,99,114
"대손상각비",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0,0,0
"매출채권처분손실",0,0,0,0,0,0
"금융자산처분손실",9,1,3,1,0,0
"금융자산평가손실",1,130,24,52,46,2
"금융자산손상차손",15,0,0,0,0,0
"파생상품손실",27,200,356,102,98,32
"기타금융원가",11,13,15,7,31,87
"기타수익",1501,1918,1983,941,547,285
"재고자산감모손실환입",0,0,0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,3,1,0,1,2
"자산처분(폐기)이익",78,446,86,7,1558,25
"자산평가이익",0,0,0,0,0,0
"자산손상차손환입",1,2,1,0,3,0
"임대료수익",52,65,79,13,15,15
"로열티수익",0,0,0,0,0,0
"수수료수익",1,0,0,0,0,0
"대손충당금환입",12,17,7,10,17,5
"충당부채환입액",3,1,6,0,0,0
"기타비용",3198,2513,3576,784,536,416
"재고자산감모손실",0,0,0,0,0,0
"재고자산폐기(처분)손실",171,159,127,0,8,1
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,0,2,0,0,0
"자산처분(폐기)손실",72,78,70,10,6,7
"자산평가손실",2,0,0,0,0,0
"자산손상차손",256,664,1793,0,8,27
"기타대손상각비",194,228,86,13,32,1
"충당부채전입액",85,16,16,-2,4,3
"종속기업,공동지배기업및관계기업관련손익",170,18,159,9,27,-5
"지분법손익",118,30,105,8,8,-8
"종속기업,공동지배기업및관계기업투자주식처분손익",21,-33,0,5,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",-51,0,0,0,-1,0
"세전계속사업이익",1391,6138,8378,2398,2995,2599
"법인세비용",866,2163,1070,588,761,595
"계속영업이익",529,3972,7306,1814,2233,2000
"중단영업이익",-196,-212,-108,0,0,0
"당기순이익",333,3760,7198,1814,2234,2000
"지배주주순이익",143,4354,6850,1756,2091,1774
"비지배주주순이익",91,131,346,11,32,117
"자산",179990,220075,255696,275272,286247,280672
"유동자산",97459,123709,143194,159885,168136,160691
"재고자산",16612,33396,32320,35399,37719,39434
"유동생물자산",0,0,0,0,0,0
"유동금융자산",6033,8297,13263,11496,13379,12845
"매출채권및기타유동채권",39111,32602,32888,31338,30514,30922
"당기법인세자산",21,52,618,420,12,27
"계약자산",1842,5858,7667,9074,9586,9258
"반품(환불)자산",0,0,0,3,0,0
"배출권",0,0,0,0,0,0
"기타유동자산",14370,22138,27400,32566,36414,36937
"현금및현금성자산",19030,21230,28886,39474,40505,31260
"매각예정비유동자산및처분자산집단",436,134,151,113,4,10
"비유동자산",82531,96365,112508,115388,118111,119827
"유형자산",42519,47315,52777,53622,54456,55105
"무형자산",22008,32308,36492,36992,37308,37966
"비유동생물자산",0,0,0,0,0,0
"투자부동산",843,974,1084,1086,1155,1066
"장기금융자산",6666,3841,4562,5474,6296,6745
"관계기업등지분관련투자자산",2447,2344,2245,2802,3143,3091
"장기매출채권및기타비유동채권",1947,2233,2388,2371,2588,2518
"이연법인세자산",4791,5844,6589,6620,6678,6771
"장기당기법인세자산",0,0,0,0,0,0
"기타비유동자산",1309,1491,6334,6355,6460,6526
"기타금융업자산",0,0,0,0,0,155
"부채",101008,130479,158420,177195,185898,178225
"유동부채",69917,92657,108464,126722,130572,123519
"단기사채",453,1137,912,751,703,615
"단기차입금",14901,12907,11734,20435,14539,16163
"유동성장기부채",2035,6635,5067,8036,6661,6433
"유동금융부채",87,311,1756,2086,1960,1879
"매입채무및기타유동채무",32985,26638,30430,27418,26227,24488
"유동종업원급여충당부채",0,23,33,24,12,10
"기타단기충당부채",1129,1243,2027,1911,1887,1661
"당기법인세부채",1944,1097,1422,1751,1781,1855
"계약부채",1936,11607,23680,26952,33928,30411
"반품(환불)부채",0,0,0,0,0,0
"배출부채",0,10,9,20,19,6
"기타유동부채",14450,31035,31361,37343,42853,40000
"매각예정으로분류된처분자산집단에포함된부채",3,11,25,0,0,0
"비유동부채",31088,37822,49956,50467,55327,54699
"사채",9891,9999,14846,14162,17243,15910
"장기차입금",8276,8591,11400,11151,12701,12862
"비유동금융부채",120,190,2729,3398,3354,3707
"장기매입채무및기타비유동채무",2107,3002,4406,4460,4327,4039
"비유동종업원급여충당부채",8200,10846,12210,12864,13337,13863
