"","033780"
"2016-01-25",97000
"2016-01-26",100500
"2016-01-27",98200
"2016-01-28",102000
"2016-01-29",103500
"2016-02-01",104000
"2016-02-02",103500
"2016-02-03",106500
"2016-02-04",107500
"2016-02-05",105500
"2016-02-11",108500
"2016-02-12",108500
"2016-02-15",107500
"2016-02-16",109000
"2016-02-17",106000
"2016-02-18",107500
"2016-02-19",108500
"2016-02-22",109000
"2016-02-23",108000
"2016-02-24",105500
"2016-02-25",109000
"2016-02-26",107000
"2016-02-29",106500
"2016-03-02",108000
"2016-03-03",107500
"2016-03-04",105000
"2016-03-07",105500
"2016-03-08",105500
"2016-03-09",108500
"2016-03-10",107000
"2016-03-11",106500
"2016-03-14",108000
"2016-03-15",107500
"2016-03-16",107000
"2016-03-17",108500
"2016-03-18",107500
"2016-03-21",106500
"2016-03-22",108500
"2016-03-23",107000
"2016-03-24",108000
"2016-03-25",108500
"2016-03-28",108500
"2016-03-29",110000
"2016-03-30",111500
"2016-03-31",110000
"2016-04-01",111500
"2016-04-04",109500
"2016-04-05",108500
"2016-04-06",112000
"2016-04-07",112500
"2016-04-08",115500
"2016-04-11",114000
"2016-04-12",112500
"2016-04-14",112500
"2016-04-15",116000
"2016-04-18",114500
"2016-04-19",114000
"2016-04-20",114000
"2016-04-21",119000
"2016-04-22",124000
"2016-04-25",121500
"2016-04-26",123000
"2016-04-27",127000
"2016-04-28",123000
"2016-04-29",123000
"2016-05-02",123000
"2016-05-03",123000
"2016-05-04",125000
"2016-05-09",132000
"2016-05-10",129000
"2016-05-11",126500
"2016-05-12",125500
"2016-05-13",130000
"2016-05-16",129000
"2016-05-17",130000
"2016-05-18",128500
"2016-05-19",126000
"2016-05-20",126000
"2016-05-23",127500
"2016-05-24",126000
"2016-05-25",125500
"2016-05-26",126000
"2016-05-27",125500
"2016-05-30",126500
"2016-05-31",127500
"2016-06-01",125500
"2016-06-02",127500
"2016-06-03",127000
"2016-06-07",128000
"2016-06-08",131500
"2016-06-09",127000
"2016-06-10",127000
"2016-06-13",125000
"2016-06-14",127000
"2016-06-15",126000
"2016-06-16",126500
"2016-06-17",123500
"2016-06-20",126000
"2016-06-21",127500
"2016-06-22",127000
"2016-06-23",126000
"2016-06-24",124500
"2016-06-27",127000
"2016-06-28",128500
"2016-06-29",130000
"2016-06-30",136500
"2016-07-01",137000
"2016-07-04",136500
"2016-07-05",134500
"2016-07-06",131500
"2016-07-07",132500
"2016-07-08",130000
"2016-07-11",131000
"2016-07-12",128000
"2016-07-13",126500
"2016-07-14",124000
"2016-07-15",124500
"2016-07-18",125500
"2016-07-19",125000
"2016-07-20",125000
"2016-07-21",122500
"2016-07-22",123500
"2016-07-25",122000
"2016-07-26",124500
"2016-07-27",125500
"2016-07-28",122000
"2016-07-29",121000
"2016-08-01",122500
"2016-08-02",121000
"2016-08-03",119500
"2016-08-04",121500
"2016-08-05",123000
"2016-08-08",124000
"2016-08-09",122000
"2016-08-10",123500
"2016-08-11",120500
"2016-08-12",118500
"2016-08-16",121000
"2016-08-17",125000
"2016-08-18",123500
"2016-08-19",120000
"2016-08-22",119000
"2016-08-23",121000
"2016-08-24",117000
"2016-08-25",117000
"2016-08-26",117500
"2016-08-29",118000
"2016-08-30",117500
"2016-08-31",117000
"2016-09-01",115500
"2016-09-02",116000
"2016-09-05",118000
"2016-09-06",118500
"2016-09-07",118500
"2016-09-08",120000
"2016-09-09",117500
"2016-09-12",118000
"2016-09-13",116500
"2016-09-19",115000
"2016-09-20",115000
"2016-09-21",116000
"2016-09-22",119000
"2016-09-23",118500
"2016-09-26",119000
"2016-09-27",123000
"2016-09-28",123500
"2016-09-29",126500
"2016-09-30",125000
"2016-10-04",123000
"2016-10-05",121500
"2016-10-06",119500
"2016-10-07",118500
"2016-10-10",119000
"2016-10-11",119500
"2016-10-12",121000
"2016-10-13",119000
"2016-10-14",115000
