"","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",330622,308401,287746,303137
"매출원가",308032,281896,266311,275730
"매출총이익",22583,26506,21429,27409
"판매비와관리비",16075,14981,14663,14112
"인건비",7020,5663,5292,5395
"유무형자산상각비",1056,978,999,975
"연구개발비",509,385,412,433
"광고선전비",319,232,237,232
"판매비",3903,4108,3681,3367
"관리비",4257,3100,3055,2625
"기타원가성비용",3,1,2,1
"기타",-998,508,977,1082
"영업이익",6513,11524,6775,13307
"영업이익(발표기준)",6513,11524,6775,13307
"금융수익",3555,16581,4509,5194
"이자수익",1839,1261,1320,1162
"배당금수익",140,520,55,84
"외환이익",1786,9625,1804,3053
"대손충당금환입액",0,0,0,0
"매출채권처분이익",5,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,4,2,1
"금융자산처분이익",191,10,18,10
"금융자산평가이익",517,115,502,-22
"금융자산손상차손환입",0,0,0,0
"파생상품이익",71,4725,489,301
"기타금융수익",-1004,315,312,598
"금융원가",6364,19347,6038,7413
"이자비용",4211,3631,3437,3176
"외환손실",1207,12368,765,2259
"대손상각비",2,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",1,2,0,0
"매출채권처분손실",77,62,39,28
"금융자산처분손실",38,144,41,2
"금융자산평가손실",779,607,-1,0
"금융자산손상차손",1,0,0,0
"파생상품손실",845,2330,1040,1902
"기타금융원가",-798,206,712,43
"기타수익",3054,3147,2957,2489
"재고자산감모손실환입",0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",5,7,35,4
"자산처분(폐기)이익",979,213,634,72
"자산평가이익",238,0,-1,0
"자산손상차손환입",28,0,2,4
"임대료수익",101,62,44,45
"로열티수익",0,0,0,0
"수수료수익",21,9,24,7
"대손충당금환입",9,6,2,3
"충당부채환입액",18,0,6,27
"기타비용",8218,3347,2617,1748
"재고자산감모손실",0,0,0,0
"재고자산폐기(처분)손실",14,17,-1,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",11,25,0,5
"자산처분(폐기)손실",793,449,454,502
"자산평가손실",25,0,-1,0
"자산손상차손",5129,74,272,7
"기타대손상각비",743,17,78,-178
"충당부채전입액",99,9,5,66
"종속기업,공동지배기업및관계기업관련손익",66,-610,-208,940
"지분법손익",89,404,-156,967
"종속기업,공동지배기업및관계기업투자주식처분손익",0,0,0,2
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0,0
"세전계속사업이익",-1395,7947,5379,12762
"법인세비용",-37,2881,1940,3384
"계속영업이익",-1362,5071,3434,9379
"중단영업이익",40,-16,6,0
"당기순이익",-1320,5055,3440,9379
"지배주주순이익",8,4078,2415,8189
"비지배주주순이익",-290,702,836,755
"자산",1667617,1702314,1694045,1704625
"유동자산",695566,732350,725663,738901
"재고자산",261760,259098,247726,236359
"유동생물자산",132,178,173,160
"유동금융자산",139187,140466,159226,175464
"매출채권및기타유동채권",202369,205498,186126,195896
"당기법인세자산",837,845,535,953
