"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",5121,5921,10722,0,10,14
"매출원가",4579,5364,9783,0,0,0
"매출총이익",542,557,940,0,10,14
"판매비와관리비",1133,1253,1625,282,365,360
"인건비",139,99,255,5,6,10
"유무형자산상각비",12,11,24,0,2,1
"연구개발비",3,3,7,0,0,0
"광고선전비",1,0,0,0,0,0
"판매비",11,22,51,0,0,0
"관리비",71,73,135,0,4,8
"기타원가성비용",0,0,0,0,0,0
"기타",75,2074,2736,2714,2964,3123
"영업이익",1195,1439,2155,109,725,867
"영업이익(발표기준)",306,348,464,-4,-3,-8
"금융수익",44,61,74,17,15,25
"이자수익",53,67,89,6,28,24
"배당금수익",2,6,11,1,6,0
"외환이익",0,0,0,0,0,0
"대손충당금환입액",0,0,0,0,0,0
"매출채권처분이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0,0,0
"금융자산처분이익",5,16,5,17,0,0
"금융자산평가이익",0,0,0,0,1,9
"금융자산손상차손환입",0,0,0,0,0,0
"파생상품이익",0,1,9,0,1,4
"기타금융수익",0,0,0,0,0,0
"금융원가",0,0,7,0,1,5
"이자비용",24,29,44,7,30,3
"외환손실",0,0,0,0,0,0
"대손상각비",85,67,84,1,3,22
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0,0,0
"매출채권처분손실",0,0,0,0,0,0
"금융자산처분손실",0,0,0,0,0,0
"금융자산평가손실",0,0,0,0,1,5
"금융자산손상차손",0,0,0,0,0,0
"파생상품손실",0,0,1,0,1,0
"기타금융원가",0,0,0,0,0,0
"기타수익",215,2429,495,0,0,0
"재고자산감모손실환입",0,0,0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",9,1024,1057,79,472,351
"자산처분(폐기)이익",140,96,209,0,0,0
"자산평가이익",0,0,0,0,0,0
"자산손상차손환입",0,0,0,0,0,0
"임대료수익",13,10,14,0,0,0
"로열티수익",0,0,0,0,0,0
"수수료수익",39,93,103,59,25,40
"대손충당금환입",0,0,0,0,0,0
"충당부채환입액",0,0,0,0,0,0
"기타비용",110,47,258,0,0,0
"재고자산감모손실",0,0,0,0,0,0
"재고자산폐기(처분)손실",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",3,516,556,159,161,41
"자산처분(폐기)손실",5,2,58,0,0,0
"자산평가손실",0,0,0,0,0,0
"자산손상차손",0,5,9,0,0,0
"기타대손상각비",0,0,0,0,0,0
"충당부채전입액",16,14,0,0,0,0
"종속기업,공동지배기업및관계기업관련손익",0,1,54,4,-3,786
"지분법손익",0,1,54,4,-3,786
"종속기업,공동지배기업및관계기업투자주식처분손익",0,0,0,0,0,0
