"","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",2858,2985,3505,3339
"매출원가",1888,1829,2287,2132
"매출총이익",970,1155,1221,1211
"판매비와관리비",1079,940,940,911
"인건비",456,398,382,360
"유무형자산상각비",162,136,136,129
"연구개발비",13,10,11,10
"광고선전비",39,30,23,22
"판매비",168,70,61,69
"관리비",318,230,253,210
"기타원가성비용",0,0,0,0
"기타",-75,66,73,108
"영업이익",-108,213,280,298
"영업이익(발표기준)",-108,213,280,298
"금융수익",9,48,61,169
"이자수익",13,9,10,8
"배당금수익",0,0,1,0
"외환이익",11,25,47,7
"대손충당금환입액",0,0,0,0
"매출채권처분이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0
"금융자산처분이익",0,0,0,10
"금융자산평가이익",-2,2,0,11
"금융자산손상차손환입",0,0,0,0
"파생상품이익",-6,7,1,43
"기타금융수익",-10,5,1,88
"금융원가",133,192,259,162
"이자비용",123,99,83,75
"외환손실",-4,78,-6,23
"대손상각비",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0
"매출채권처분손실",0,0,0,0
"금융자산처분손실",0,0,0,0
"금융자산평가손실",26,0,5,2
"금융자산손상차손",0,0,0,0
"파생상품손실",0,5,0,-1
"기타금융원가",-13,10,177,64
"기타수익",151,116,148,96
"재고자산감모손실환입",0,0,0,0
"재고자산폐기(처분)이익",0,1,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",30,3,40,30
"자산처분(폐기)이익",44,11,18,17
"자산평가이익",0,0,0,0
"자산손상차손환입",-1,0,0,0
"임대료수익",1,1,2,1
"로열티수익",0,0,0,0
"수수료수익",1,1,2,0
"대손충당금환입",4,0,7,0
"충당부채환입액",1,0,0,0
"기타비용",577,127,328,24
"재고자산감모손실",0,0,0,0
"재고자산폐기(처분)손실",7,3,-3,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",3,13,27,-2
"자산처분(폐기)손실",11,34,2,5
"자산평가손실",0,0,0,0
"자산손상차손",414,0,237,0
"기타대손상각비",10,0,0,0
"충당부채전입액",-2,0,0,0
"종속기업,공동지배기업및관계기업관련손익",79,5,25,-1
"지분법손익",79,14,25,0
"종속기업,공동지배기업및관계기업투자주식처분손익",0,0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0,0
"세전계속사업이익",-580,64,-75,380
"법인세비용",33,13,71,74
"계속영업이익",-614,51,-146,304
"중단영업이익",0,0,0,0
"당기순이익",-614,51,-146,304
"지배주주순이익",-605,56,-177,310
"비지배주주순이익",-9,-6,32,-4
"자산",28887,29739,31065,30286
"유동자산",10329,10766,12731,12101
"재고자산",3211,3323,3302,3142
"유동생물자산",0,0,0,0
"유동금융자산",791,1018,1705,2326
"매출채권및기타유동채권",3465,3968,4924,3601
"당기법인세자산",24,23,20,26
"계약자산",44,2,2,7
"반품(환불)자산",4,18,10,8
"배출권",0,0,0,0
"기타유동자산",240,289,219,257
"현금및현금성자산",2315,1918,2068,2136
"매각예정비유동자산및처분자산집단",232,203,480,597
"비유동자산",18559,18975,18334,18183
"유형자산",8419,8548,8501,8461
"무형자산",1115,1115,1100,1068
"비유동생물자산",0,0,0,0
"투자부동산",3205,3056,2949,2655
"장기금융자산",337,356,351,323
"관계기업등지분관련투자자산",3860,3892,3441,3364
