"","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",2400,1877,1824,1943
"매출원가",1826,1332,1292,1385
"매출총이익",575,547,530,560
"판매비와관리비",567,525,532,520
"인건비",265,190,153,158
"유무형자산상각비",27,47,58,47
"연구개발비",170,125,122,114
"광고선전비",13,12,4,1
"판매비",61,29,16,11
"관리비",160,110,93,95
"기타원가성비용",0,0,0,0
"기타",-130,9,85,90
"영업이익",8,20,-1,40
"영업이익(발표기준)",8,20,-1,40
"금융수익",74,137,113,16
"이자수익",35,15,17,14
"배당금수익",3,3,1,0
"외환이익",17,51,14,0
"대손충당금환입액",-6,0,0,0
"매출채권처분이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0
"금융자산처분이익",9,9,10,16
"금융자산평가이익",16,25,-1,-7
"금융자산손상차손환입",0,0,0,0
"파생상품이익",41,10,64,-14
"기타금융수익",-43,22,8,6
"금융원가",30,128,75,34
"이자비용",33,21,18,18
"외환손실",21,10,14,12
"대손상각비",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0
"매출채권처분손실",0,0,0,0
"금융자산처분손실",8,3,5,1
"금융자산평가손실",33,6,18,-4
"금융자산손상차손",0,0,0,0
"파생상품손실",5,83,8,-9
"기타금융원가",-71,4,11,16
"기타수익",24,18,15,14
"재고자산감모손실환입",0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,0,0,0
"자산처분(폐기)이익",3,0,1,0
"자산평가이익",1,1,5,1
"자산손상차손환입",0,0,0,0
"임대료수익",3,0,0,0
"로열티수익",0,0,0,0
"수수료수익",0,0,0,0
"대손충당금환입",6,0,0,4
"충당부채환입액",0,0,0,0
"기타비용",102,31,1,40
"재고자산감모손실",0,0,0,0
"재고자산폐기(처분)손실",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,0,0,0
"자산처분(폐기)손실",0,0,0,2
"자산평가손실",0,11,-8,-2
"자산손상차손",52,0,2,0
"기타대손상각비",10,0,0,0
"충당부채전입액",0,0,0,0
