"","X2017.12","X2018.12","X2019.12"
"매출액",6937,7392,8186
"매출원가",5067,5261,5836
"매출총이익",1868,2130,2348
"판매비와관리비",1671,1837,2124
"인건비",594,690,736
"유무형자산상각비",120,159,173
"연구개발비",422,434,478
"광고선전비",54,66,44
"판매비",109,91,107
"관리비",349,359,552
"기타원가성비용",0,0,0
"기타",24,40,30
"영업이익",198,293,222
"영업이익(발표기준)",198,293,222
"금융수익",145,269,300
"이자수익",62,77,80
"배당금수익",0,7,6
"외환이익",30,71,76
"대손충당금환입액",0,0,0
"매출채권처분이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0
"금융자산처분이익",38,13,24
"금융자산평가이익",11,92,27
"금융자산손상차손환입",0,0,0
"파생상품이익",3,8,82
"기타금융수익",0,0,4
"금융원가",141,145,276
"이자비용",13,48,74
"외환손실",116,30,35
"대손상각비",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0
"매출채권처분손실",0,0,0
"금융자산처분손실",0,1,28
"금융자산평가손실",0,13,68
"금융자산손상차손",1,0,0
"파생상품손실",9,53,75
"기타금융원가",0,1,0
"기타수익",203,89,68
"재고자산감모손실환입",0,0,0
"재고자산폐기(처분)이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,0,0
"자산처분(폐기)이익",3,28,6
"자산평가이익",0,1,4
"자산손상차손환입",0,0,0
"임대료수익",1,2,4
"로열티수익",0,0,0
"수수료수익",0,0,0
"대손충당금환입",0,0,6
"충당부채환입액",0,0,0
"기타비용",107,184,136
"재고자산감모손실",0,0,0
"재고자산폐기(처분)손실",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,0,0
"자산처분(폐기)손실",0,11,0
"자산평가손실",0,6,0
"자산손상차손",23,115,53
"기타대손상각비",14,4,10
"충당부채전입액",0,0,0
"종속기업,공동지배기업및관계기업관련손익",16,13,-23
"지분법손익",16,12,-20
"종속기업,공동지배기업및관계기업투자주식처분손익",0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0
"세전계속사업이익",312,337,154
"법인세비용",56,96,77
"계속영업이익",258,240,74
"중단영업이익",-9,0,0
"당기순이익",249,240,74
"지배주주순이익",107,81,-32
"비지배주주순이익",-11,-12,-1
"자산",10553,11022,12741
"유동자산",6946,7178,8069
"재고자산",1182,1374,1585
"유동생물자산",0,0,0
"유동금융자산",1866,2748,2684
"매출채권및기타유동채권",1754,1517,1944
"당기법인세자산",4,8,7
"계약자산",0,0,0
"반품(환불)자산",0,0,1
"배출권",0,0,0
"기타유동자산",147,223,184
"현금및현금성자산",1995,1305,1659
"매각예정비유동자산및처분자산집단",0,0,0
"비유동자산",3605,3846,4672
"유형자산",1196,1116,1180
"무형자산",793,614,672
"비유동생물자산",0,0,0
"투자부동산",141,148,195
"장기금융자산",647,841,1261
"관계기업등지분관련투자자산",652,973,1117
"장기매출채권및기타비유동채권",51,34,34
"이연법인세자산",114,117,139
"장기당기법인세자산",0,0,0
"기타비유동자산",12,3,75
"기타금융업자산",0,0,0
"부채",2567,2740,3294
"유동부채",2054,2380,2790
"단기사채",0,544,633
"단기차입금",275,281,374
"유동성장기부채",269,79,25
"유동금융부채",61,101,126
"매입채무및기타유동채무",1283,1199,1385
"유동종업원급여충당부채",11,16,31
"기타단기충당부채",11,10,22
"당기법인세부채",77,67,65
"계약부채",0,0,0
"반품(환불)부채",0,1,2
"배출부채",0,0,0
"기타유동부채",68,82,126
"매각예정으로분류된처분자산집단에포함된부채",0,0,0
"비유동부채",514,360,503
"사채",191,75,56
"장기차입금",89,31,79
"비유동금융부채",6,0,100
"장기매입채무및기타비유동채무",34,52,56
"비유동종업원급여충당부채",131,150,147
"기타장기충당부채",5,6,6
"이연법인세부채",56,44,57
"장기당기법인세부채",0,0,0
"기타비유동부채",0,1,1
"기타금융업부채",0,0,0
"자본",7983,8284,9446
"지배기업주주지분",7171,7300,8271
"자본금",811,858,985
"신종자본증권",0,0,0
"자본잉여금",4224,4383,5350
"기타자본",-1076,-1154,-1216
"기타포괄손익누계액",121,89,96
"이익잉여금(결손금)",3687,3875,3872
"비지배주주지분",213,232,359
"영업활동으로인한현금흐름",216,391,62
"당기순손익",321,361,102
"법인세비용차감전계속사업이익",-75,-119,-85
"현금유출이없는비용등가산",575,763,958
"퇴직급여",54,60,56
"종업원급여",2,3,3
"주식보상비",7,10,9
"감가상각비",100,103,151
"무형자산상각비",128,169,131
"계약부채전입액",0,0,0
"반품(환불)부채전입액",0,0,0
"배출부채전입액",0,0,0
"기타의대손상각비",14,4,10
"배당금지급",0,0,0
"금융부채관련손실",0,0,0
"사채상환손실",0,1,0
"투자자산평가손실",0,3,0
"자산재평가손실",0,0,0
"지분법관련손실",11,10,84
"종속기업관련손실",0,0,0
"관계기업관련손익",0,1,25
"(현금유입이없는수익등차감)",329,281,313
"금융부채관련이익",0,0,4
"사채상환이익",0,0,0
"퇴직급여충당부채환입액",0,0,0
"계약부채환입액",0,0,0
"반품(환불)부채환입액",0,0,0
"배출부채환입액",0,0,0
"주식보상비환입",0,0,0
"투자자산평가이익",0,0,3
"자산재평가이익",0,0,0
"지분법관련이익",18,16,58
"종속회사관련이익",123,0,0
"법인세수익",30,10,5
"영업활동으로인한자산부채변동(운전자본변동)",-262,-263,-534
"자산의감소(증가)",-279,-36,-743
"부채의증가(감소)",14,-228,208
"정부보조금등의변동",0,0,0
"기타운전자본의변동",0,0,0
"*영업에서창출된현금흐름",230,461,126
"기타영업활동으로인한현금흐름",-13,-71,-64
"이자수입",61,75,81
"이자지급(-)",-10,-33,-39
"배당금수입",0,2,6
"배당금지급(-)",0,0,0
"법인세환입",3,0,2
"법인세납부(-)",-69,-116,-114
"중단영업관련현금흐름",0,0,0
"투자활동으로인한현금흐름",-332,-1346,-821
"투자활동으로인한현금유입액",2549,2300,3466
"유동금융자산의감소",1723,1263,2221
"장기금융상품의감소",0,5,10
"매도가능금융자산의감소",160,0,3
"만기보유금융자산의감소",0,0,0
"장기대여금의감소",29,217,118
"파생상품의변동",0,0,0
"기타비유동금융자산의감소",310,623,1022
"관계기업등지분관련투자자산의감소",224,25,39
"유형자산의감소",33,120,4
"무형자산의감소",1,0,4
"생물자산의감소",0,0,0
"투자부동산의감소",3,3,3
"기타투자활동으로인한현금유입액",67,41,42
"(투자활동으로인한현금유출액)",2881,3649,4287
"유동금융자산의증가",1495,1958,2501
"장기금융상품의증가",30,17,42
"매도가능금융자산의증가",166,0,0
"만기보유금융자산의증가",10,0,0
"장기대여금의증가",79,219,173
"기타비유동금융자산의증가",430,812,977
"관계기업등지분관련투자자산의증가",121,271,78
"유형자산의증가",105,130,94
"무형자산의증가",133,91,230
"생물자산의증가",0,0,0
"투자부동산의증가",41,0,49
"기타투자활동으로인한현금유출액",270,146,143
"기타투자활동으로인한현금흐름",0,0,0
"재무활동으로인한현금흐름",605,263,1117
"재무활동으로인한현금유입액",954,771,1789
"사채의증가",465,369,511
"차입금의증가",286,245,499
"미지급금의증가",0,0,0
"유동성장기부채의증가",0,0,0
