"","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",24564,24854,26433,29604
"매출원가",22477,22548,22386,24119
"매출총이익",2086,2304,4048,5483
"판매비와관리비",1593,1469,1346,1418
"인건비",975,697,690,693
"유무형자산상각비",166,117,121,121
"연구개발비",1,1,3,2
"광고선전비",42,6,11,13
"판매비",195,38,-33,-12
"관리비",337,224,153,171
"기타원가성비용",0,0,0,0
"기타",-125,391,398,428
"영업이익",493,835,2705,4067
"영업이익(발표기준)",493,835,2705,4067
"금융수익",-427,1122,-119,-242
"이자수익",166,72,68,43
"배당금수익",3,0,2,2
"외환이익",-424,856,-201,-264
"대손충당금환입액",0,14,0,0
"매출채권처분이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0
"금융자산처분이익",0,0,0,0
"금융자산평가이익",51,0,0,1
"금융자산손상차손환입",0,0,0,0
"파생상품이익",2,25,6,-9
"기타금융수익",-230,155,5,-15
"금융원가",1568,1865,1715,2980
"이자비용",2010,1512,1316,1302
"외환손실",34,163,120,250
"대손상각비",30,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0
"매출채권처분손실",0,0,0,0
"금융자산처분손실",0,0,0,0
"금융자산평가손실",0,0,0,103
"금융자산손상차손",0,0,0,0
"파생상품손실",9,12,83,1062
"기타금융원가",-516,178,199,262
"기타수익",2152,1092,277,801
"재고자산감모손실환입",0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,0,0,1
"자산처분(폐기)이익",208,8,8,50
"자산평가이익",0,0,0,0
"자산손상차손환입",1962,0,0,0
"임대료수익",1,1,1,0
"로열티수익",0,0,0,0
"수수료수익",-3,0,1,0
"대손충당금환입",17,13,1,0
"충당부채환입액",32,0,0,0
"기타비용",2355,1119,588,967
"재고자산감모손실",0,0,0,0
"재고자산폐기(처분)손실",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,0,0,0
"자산처분(폐기)손실",71,73,29,89
"자산평가손실",1,0,0,0
"자산손상차손",2006,64,-1,5
"기타대손상각비",166,9,-3,138
"충당부채전입액",24,0,379,16
"종속기업,공동지배기업및관계기업관련손익",147,69,44,83
"지분법손익",132,4,23,34
"종속기업,공동지배기업및관계기업투자주식처분손익",0,0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0,0
"세전계속사업이익",-1560,133,604,763
"법인세비용",-378,44,30,41
"계속영업이익",-1180,88,574,716
"중단영업이익",325,0,2,-2
"당기순이익",-855,88,576,714
"지배주주순이익",-650,73,549,738
"비지배주주순이익",-206,16,28,-24
"자산",176054,185675,196663,204448
"유동자산",33916,31215,36332,38532
"재고자산",2816,3023,2687,2889
"유동생물자산",0,0,0,0
"유동금융자산",2376,2446,2933,2695
"매출채권및기타유동채권",10163,10357,10410,10591
"당기법인세자산",67,68,52,62
"계약자산",991,2034,2742,5407
"반품(환불)자산",0,0,0,0
"배출권",0,0,0,0
"기타유동자산",2703,3021,2511,3037
"현금및현금성자산",12248,8036,12247,11251
"매각예정비유동자산및처분자산집단",2552,2229,2748,2598
