"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",399447,333026,375186,94578,93060,81011
"매출원가",369772,317654,354974,86417,92881,75873
"매출총이익",29674,15372,20210,8166,176,5139
"판매비와관리비",26489,14669,20249,4249,5088,4141
"인건비",6977,7723,6676,1590,1471,1485
"유무형자산상각비",1336,1311,1265,332,301,304
"연구개발비",2163,2189,2457,562,546,572
"광고선전비",133,146,122,15,-6,17
"판매비",7552,-2923,2762,200,804,56
"관리비",7016,4818,5641,1103,1182,1093
"기타원가성비용",0,0,0,0,0,0
"기타",1313,1408,1328,445,790,611
"영업이익",3186,700,-38,3918,-4909,1001
"영업이익(발표기준)",3186,700,-38,3918,-4909,1001
"금융수익",53484,10849,14070,8904,5511,4637
"이자수익",1203,1877,2338,458,382,348
"배당금수익",92,108,18,7,1,0
"외환이익",9606,5246,6167,6890,2637,1647
"대손충당금환입액",0,0,0,0,0,0
"매출채권처분이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0,0,0
"금융자산처분이익",11995,669,47,0,1,17
"금융자산평가이익",96,393,266,21,35,37
"금융자산손상차손환입",0,0,0,0,0,0
"파생상품이익",9278,2335,5198,1509,2423,2573
"기타금융수익",21210,222,30,19,28,16
"금융원가",16573,16499,20511,16238,5616,3769
"이자비용",3277,5829,5791,1515,1514,1464
"외환손실",10754,5073,5382,4842,2683,1857
"대손상각비",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0,0,0
"매출채권처분손실",0,0,0,0,0,0
"금융자산처분손실",47,72,207,3,21,8
"금융자산평가손실",78,15,80,96,74,1
"금융자산손상차손",150,0,0,0,0,0
"파생상품손실",2187,5051,9005,9718,1185,317
"기타금융원가",77,453,44,62,141,122
"기타수익",39730,21759,29005,15773,3126,3656
"재고자산감모손실환입",0,0,0,0,0,0
"재고자산폐기(처분)이익",1,1,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,11,13,0,0,0
"자산처분(폐기)이익",1241,386,796,839,51,66
"자산평가이익",0,0,20,0,0,0
"자산손상차손환입",1,0,1,0,0,0
"임대료수익",32,21,17,2,1,1
"로열티수익",0,0,0,0,0,0
"수수료수익",5,3,4,0,0,0
"대손충당금환입",109,43,10,20,28,-2
"충당부채환입액",15,6,0,0,1,1
"기타비용",56694,24615,35185,9562,4917,6264
"재고자산감모손실",0,0,0,0,0,0
"재고자산폐기(처분)손실",1,0,9,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,10,12,3,-2,0
"자산처분(폐기)손실",367,1008,1186,52,74,223
"자산평가손실",15,0,0,0,0,0
"자산손상차손",9000,2637,2822,0,211,-130
"기타대손상각비",744,261,119,20,303,378
"충당부채전입액",0,487,20,0,0,0
"종속기업,공동지배기업및관계기업관련손익",-1453,-4674,-49,-45,17,24
"지분법손익",207,-3,0,-1,-3,-2
"종속기업,공동지배기업및관계기업투자주식처분손익",0,318,0,0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0,0,0,0
"세전계속사업이익",21681,-12477,-12711,2750,-6790,-717
"법인세비용",6574,-2451,690,718,240,90
"계속영업이익",15108,-10025,-13400,2032,-7030,-809
"중단영업이익",27015,2654,-83,0,0,4
"당기순이익",42124,-7370,-13483,2032,-7030,-805
"지배주주순이익",39609,-7300,-13473,1774,-6940,-760
"비지배주주순이익",2613,215,241,263,44,-29
